pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,AOMI_promptBkgdKeys.rt,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,jargon,frugal,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/oppose_TT_3X.mp4,ghetto,oppose,None,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, jargon,"['j', 'a', 'r', 'g', 'o', 'n', 'return']","[0.668731800000387, 0.8047367999988637, 0.9487212000003638, 1.2203883999991376, 1.356522899999618, 1.508754399999816, 1.9724311999998463]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,legion,subdue,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/feudal_touch_edited.mp4,matron,feudal,None,,,,,,,,,,,0,8,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, legion,"['l', 'e', 'g', 'i', 'o', 'n', 'return']","[0.6789943999992829, 0.814352899998994, 1.4144661999998789, 1.5345565999996325, 1.646631100000377, 1.8789753999990353, 2.2784836999999243]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,parole,solemn,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/befall_TT_3X.mp4,ration,befall,None,,,,,,,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, parole,"['p', 'a', 'r', 'o', 'l', 'e', 'return']","[0.583448600000338, 0.7193922999995266, 1.2236923999989813, 1.3513614000003145, 1.5195155999990675, 1.6153694999993604, 1.831245699999272]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,upkeep,kipper,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/meddle_touch_edited.mp4,divert,meddle,None,,,,,,,,,,,0,10,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, upkeep,"['u', 'p', 'k', 'e', 'e', 'p', 'return']","[0.7084448999994493, 0.8363797000001796, 1.1885131999988516, 1.6366799999996147, 1.7886024999988877, 1.9723682999992889, 2.4203687999997783]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,brazen,piston,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/caviar_touch_edited.mp4,shrill,caviar,None,,,,,,,,,,,0,11,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, brazen,"['b', 'r', 'a', 'z', 'e', 'n', 'return']","[0.5408143000004202, 0.652604999999312, 0.8205734999992274, 1.172636400000556, 1.6128625000001193, 1.7325607999991917, 2.1566585000000487]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,potent,neural,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/septic_TT_3X.mp4,ordain,septic,None,,,,,,,,,,,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, potent,"['p', 'o', 'e', 't', 'e', 'n', 't', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 't', 'e', 'n', 't', 'return']","[0.46334660000138683, 0.6073596000005637, 0.7354142000003776, 0.9991506000005757, 1.1441618999997445, 1.287357900000643, 1.4717141000000993, 2.59920670000065, 2.7995872999999847, 2.935166900000695, 3.1191981000010855, 3.2633630000000267, 3.6312458000011247, 3.7512016000000585, 4.151162800000748, 4.519305499999973, 4.87130470000011]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,strife,tariff,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/delude_TT_3X.mp4,galley,delude,None,,,,,,,,,,,0,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, strife,"['s', 't', 'r', 'i', 'f', 'e', 'return']","[0.5909484000003431, 0.7988136000003578, 0.9991563000003225, 1.1593401999998605, 1.351008699999511, 1.4388123999997333, 1.9027432999992016]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,goblet,botany,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/trench_touch_edited.mp4,ethnic,trench,None,,,,,,,,,,,0,14,14,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, goblet,"['g', 'o', 'b', 'l', 'e', 't', 'return']","[0.6679199000009248, 0.8285558999996283, 0.9719772000007652, 1.1078455000006215, 1.2202219999999215, 1.3878913999997167, 1.771860500000912]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,pursue,debtor,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/output_touch_edited.mp4,uphold,output,None,,,,,,,,,,,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, pursue,"['p', 'u', 'r', 's', 'u', 'e', 'return']","[0.46356760000162467, 0.7030512000001181, 0.9590919000002032, 1.3992201000000932, 2.0550973000008526, 2.1511526000012964, 2.6797065999999177]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,sonnet,confer,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/innate_TT_3X.mp4,tamper,innate,None,,,,,,,,,,,0,16,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, sonnet,"['s', 'o', 'n', 'n', 'e', 't', 'return']","[0.6691800000007788, 0.7810526000012032, 1.0688939000010578, 1.2054170000010345, 1.3570316000004823, 1.4850609000004624, 1.7570568000010098]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
