pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,AOMI_promptBkgdKeys.rt,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,critic,obsess,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/zephyr_TT_3X.mp4,fusion,zephyr,None,,,,,,,,,,,0,17,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, critic,"['c', 'r', 'i', 't', 'i', 'c', 'return']","[0.3921965999998065, 0.6482541999994282, 0.8081591999998636, 1.0563517999999021, 1.168126000000484, 1.3766034000000218, 1.8803021000003355]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,novice,parcel,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/primal_TT_3X.mp4,entail,primal,None,,,,,,,,,,,0,18,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, novice,"['n', 'p', 'o', 'v', 'backspace', 'backspace', 'backspace', 'o', 'v', 'i', 'c', 'e', 'return']","[0.5902115999997477, 0.742036099998586, 0.7660785999996733, 0.9421172999991541, 1.4700030000003608, 1.646493799999007, 1.8224647999995796, 2.495094699999754, 2.73412129999997, 2.8947981000001164, 3.1423498000003747, 3.2621788999986165, 3.8465770999991946]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,deduct,hippie,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/hearth_TT_3X.mp4,herbal,hearth,None,,,,,,,,,,,0,19,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, deduct,"['d', 'e', 'd', 'u', 'c', 't', 'return']","[0.5447556999988592, 0.75261429999955, 0.9285409999993135, 1.1285776999993686, 1.320925799998804, 1.5926509000000806, 2.0005533000003197]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,binder,forage,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/campus_touch_edited.mp4,allure,campus,None,,,,,,,,,,,0,20,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, binder,"['b', '9', 'backspace', 'i', 'n', 'd', 'e', 'r', 'return']","[0.5588372000001982, 0.7508611000012024, 1.4309121999995114, 2.190685300000041, 2.3348526999998285, 2.470972900000561, 2.6150252999996155, 2.7348794999998063, 3.0709244000008766]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,murmur,ritual,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/clergy_touch_edited.mp4,portal,clergy,None,,,,,,,,,,,0,21,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, murmur,"['m', 'u', 'r', 'm', 'u', 'r', 'return']","[0.5246658999985812, 0.8047274999989895, 0.972522599999138, 1.1485335999987, 1.3486296999999468, 1.5088739999991958, 2.044934399998965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,quarry,covert,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/patent_TT_3X.mp4,defame,patent,None,,,,,,,,,,,0,22,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, quarry,"['q', 'u', 'a', 'r', 'r', 'y', 'return']","[0.453533800000514, 0.6215742999993381, 0.8059706000003644, 1.221539699999994, 1.3657610999998724, 1.525633299999754, 2.013928999998825]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,mirage,malady,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/shrewd_TT_3X.mp4,revoke,shrewd,None,,,,,,,,,,,0,23,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mirage,"['m', 'i', 'r', 'a', 'g', 'e', 'return']","[0.8377104999999574, 0.9578634000008606, 1.1019902000007278, 1.28577740000037, 1.5019806000000244, 1.6138447000012093, 2.0460031000002346]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,impose,belfry,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/girdle_touch_edited.mp4,linear,girdle,None,,,,,,,,,,,0,24,24,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, impos,"['i', 'm', 'p', 'o', 's', 'return']","[0.6629027999988466, 0.7981569000003219, 1.0062383999993472, 1.1739920999989408, 1.2949075999986235, 1.6789610999985598]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,fodder,devise,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/mangle_touch_edited.mp4,warble,mangle,None,,,,,,,,,,,0,25,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, fodder,"['f', 'o', 'd', 'd', 'e', 'r', 'return']","[0.7072998000003281, 0.8437025000002905, 1.0515498999993724, 1.1960620999998355, 1.3394300999989355, 1.4760982999996486, 1.8282151999992493]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,manure,picket,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/parish_touch_edited.mp4,gullet,parish,None,,,,,,,,,,,0,26,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, manure,"['m', 'a', 'n', 'u', 'r', 'e', 'return']","[0.5624281999989762, 0.7221672999985458, 1.1144524999999703, 1.354393199999322, 1.4906962999993993, 1.6111593999994511, 1.9062379999995755]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,savant,cervix,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/cobble_touch_edited.mp4,export,cobble,None,,,,,,,,,,,0,27,27,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, savant,"['s', 'a', 'v', 'a', 'n', 't', 'return']","[0.4550673000012466, 0.6390529000000242, 0.8390484000010474, 0.9277921000011702, 1.119120200000907, 1.2389842000011413, 1.4631850000005215]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,revolt,virile,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/joiner_TT_3X.mp4,apathy,joiner,None,,,,,,,,,,,0,28,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, revolt,"['r', 'e', 'v', 'o', 'l', 't', 'return']","[0.4948588999995991, 0.6464961000001495, 0.8221723000006023, 0.9426619999994728, 1.1267102000001614, 1.2786758999991434, 1.702144099999714]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,sherry,jackal,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/hamlet_TT_3X.mp4,shroud,hamlet,None,,,,,,,,,,,0,29,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, sherry,"['s', 'h', 'e', 'r', 'r', 'y', 'return']","[0.3710542999997415, 0.5071559000007255, 0.6511045999995986, 0.8030409999992116, 0.9711293999989721, 1.132060800000545, 1.5071430999996664]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['3'],[19.5791621999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['1'],[18.19818430000123],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,binder,forage,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/campus_touch_edited.mp4,allure,campus,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"['b', 'u', 't', 't', 'e', 'r', 'return']","[0.9182054000011703, 1.0542118000012124, 1.2943575999997847, 1.4385442000002513, 1.5984874999994645, 1.7023989999997866, 1.8303630000009434]",None, allure,"['a', 'l', 'l', 'u', 'r', 'e', 'return']","[1.043507899999895, 1.2987716000006913, 1.4668512999996892, 1.7068385000002309, 1.891179000000193, 2.0350027000004047, 2.546934899999542]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,sherry,jackal,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/hamlet_TT_3X.mp4,shroud,hamlet,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, shroud,"['s', 'h', 'r', 'o', 'u', 'd', 'return']","[0.9443031000009796, 1.1038629000013316, 1.2721424000010302, 1.4159937000003993, 1.5919499000010546, 1.736103200000798, 2.4399097000004986]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,deduct,hippie,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/hearth_TT_3X.mp4,herbal,hearth,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, herbal,"['h', 'e', 'r', 'b', 'a', 'l', 'return']","[0.6557797999994364, 0.7837823999998363, 0.9357645999989472, 1.0637561999992613, 1.720337999999174, 2.040161699998862, 2.6641236999985267]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,jargon,frugal,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/oppose_TT_3X.mp4,ghetto,oppose,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ghetto,"['g', 'h', 'e', 't', 't', 'o', 'return']","[0.6838161000014225, 0.7720879999997123, 0.9318548000010196, 1.163848300000609, 1.3724058999996487, 2.196158700000524, 2.6198806000011245]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,impose,belfry,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/girdle_touch_edited.mp4,linear,girdle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, linear,"['i', 'e', 'backspace', 'n', 'e', 'a', 'r', 'return']","[1.2282058999990113, 1.5241757000003417, 2.0678986000002624, 2.5798029999987193, 3.0440466000000015, 3.2362052999997104, 3.3886060000004363, 3.772522499999468]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,mirage,malady,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/shrewd_TT_3X.mp4,revoke,shrewd,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, revoke,"['r', 'e', 'v', 'o', 'k', 'e', 'return']","[0.951608600000327, 1.1124116999999387, 1.8558126999996603, 2.423427499999889, 2.8796696000008524, 2.991649600000528, 3.3513856000008673]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,savant,cervix,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/cobble_touch_edited.mp4,export,cobble,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, export,"['e', 'x', 'p', 'o', 'r', 't', 'return']","[0.879345999999714, 1.3032156999997824, 1.4709691000007297, 1.927904899999703, 2.09543499999927, 2.318823400000838, 2.5911192999992636]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,satire,cortex,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/induce_touch_edited.mp4,mussel,induce,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mussel,"['m', 'u', 's', 's', 'e', 'l', 'return']","[0.6842586000002484, 1.0047032999991643, 1.3164345999994111, 1.4843854999999166, 1.7087757999997848, 1.8773337000002357, 2.4206307000004017]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,strife,tariff,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/delude_TT_3X.mp4,galley,delude,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, gallery,"['g', 'a', 'semicolon', 'semicolon', 'e', 'backspace', 'backspace', 'backspace', 'l', 'l', 'e', 'r', 'y']","[0.5141538000007131, 0.6824269999997341, 0.9141514000002644, 1.0981475999997201, 1.2901447000003827, 1.9221120000001974, 2.154228700001113, 2.4743056999996043, 3.2340666000000056, 3.3947496000000683, 3.579091800000242, 3.690229600000748, 4.146377500001108]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,sonnet,confer,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/innate_TT_3X.mp4,tamper,innate,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, tamper,"['t', 'a', 'm', 'p', 'e', 'r', 'return']","[0.26339759999973467, 0.4554945999989286, 0.6471979999987525, 0.9193009999999049, 1.0871260999992955, 1.2231128999992507, 1.5992283999985375]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,murmur,ritual,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/clergy_touch_edited.mp4,portal,clergy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, portal,"['p', 'o', 'r', 't', 'a', 'l', 'return']","[0.6933210000006511, 0.9168777000013506, 1.1569288999999117, 1.340938000001188, 1.6054514000006748, 1.7812720000001718, 2.1810273000010056]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,pursue,debtor,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/output_touch_edited.mp4,uphold,output,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, uphold,"['u', 'p', 'h', 'o', 'l', 'd', 'return']","[0.7000127999999677, 0.86808419999943, 1.123851399999694, 1.3078765999998723, 1.5397257999993599, 1.723833599999125, 2.051940999999715]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,revolt,virile,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/joiner_TT_3X.mp4,apathy,joiner,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, apathy,"['a', 'p', 'a', 't', 'h', 'y', 'return']","[0.8852585000004183, 1.0854806999996072, 1.2373834000009083, 1.478142800000569, 1.597976999999446, 1.7733344999996916, 2.333521800001108]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,legion,subdue,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/feudal_touch_edited.mp4,matron,feudal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, matron,"['m', 'a', 't', 'r', 'o', 'n', 'return']","[0.9182510999999067, 1.038330200000928, 1.2864151000012498, 1.4386339000011503, 1.5584533000001102, 1.734285100001216, 2.33455160000085]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,quarry,covert,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/patent_TT_3X.mp4,defame,patent,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, defame,"['d', 'e', 'f', 'a', 'm', 'e', 'return']","[1.0781610000012734, 1.2378060999999434, 1.430072700000892, 1.573793300000034, 2.253811600001427, 2.3579801000014413, 3.1663165999998455]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,coerce,falter,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/tandem_touch_edited.mp4,origin,tandem,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, origin,"['o', 'r', 'i', 'g', 'i', 'n', 'return']","[0.7282002000010834, 0.9045143000003009, 1.0801136000009137, 1.328067500000543, 1.47280690000116, 1.6890409000006912, 2.3923868000001676]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,ascend,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/metric_TT_3X.mp4,eatery,metric,2 = AOMIspec,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, eatery,"['a', 'backspace', 'e', 'a', 't', 'e', 'r', 'y', 'return']","[0.8863297999996576, 1.558380100001159, 1.8708354000009422, 2.039347400001134, 2.3344369000005827, 2.5183653000003687, 2.7583296000011615, 3.6302164000007906, 4.350436000000627]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,infirm,pulpit,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/oblige_TT_3X.mp4,mystic,oblige,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mystic,"['m', 'y', 's', 't', 'i', 'c', 'return']","[0.7160009000017453, 0.93174800000088, 1.3476613000002544, 1.5876169000002847, 1.7401183000001765, 1.9396300000007614, 2.499579500001346]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,convoy,plasma,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/jailer_touch_edited.mp4,nettle,jailer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, nettle,"['n', 'e', 't', 't', 'l', 'e', 'return']","[0.6803750999988551, 1.1282542999997531, 1.4482596999987436, 1.6006933999997273, 1.7523518999987573, 1.8888311999999132, 2.4482549999993353]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,musket,subtle,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/fungal_touch_edited.mp4,mucous,fungal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mucous,"['m', 'u', 'c', 'o', 'u', 's', 'return']","[0.5534162000003562, 0.905244199999288, 1.0974544000000606, 1.2655446999997366, 1.4253761999989365, 1.5691545999998198, 2.104985599999054]",,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
