pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,pracBkgdKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,quarry,covert,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/patent_TT_3X.mp4,defame,patent,None,,,,,,,,,,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, quarry,"['q', 'u', 'a', 'r', 'r', 'y', 'return']","[0.39298890018835664, 0.5612459999974817, 1.3130389000289142, 1.769169800216332, 1.9291167000774294, 2.001258300151676, 2.5451343001332134]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,satire,cortex,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/induce_touch_edited.mp4,mussel,induce,None,,,,,,,,,,,0,15,15,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, satire,"['s', 'a', 't', 'i', 'r', 'e', 'return']","[0.6633717000950128, 0.7594670001417398, 1.063372400123626, 1.1834424000699073, 1.327460699947551, 1.4475376999471337, 1.9434728000778705]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,savant,cervix,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/cobble_touch_edited.mp4,export,cobble,None,,,,,,,,,,,0,16,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, savant,"['s', 'a', 'v', 'a', 'n', 't', 'return']","[0.4726069001480937, 0.5846406000200659, 0.9203892000950873, 1.040759100113064, 1.1603878000751138, 1.2964924001134932, 1.456826200010255]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,pursue,debtor,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/output_touch_edited.mp4,uphold,output,None,,,,,,,,,,,0,17,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, pursue,"['p', 'u', 'r', 's', 'u', 'e', 'return']","[0.3942795000039041, 0.6501996000297368, 0.7940740000922233, 1.0741985000204295, 1.2824109999928623, 1.3781098001636565, 1.9545628000050783]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,mirage,malady,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/shrewd_TT_3X.mp4,revoke,shrewd,None,,,,,,,,,,,0,18,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mirage,"['m', 'i', 'r', 'a', 'g', 'e', 'return']","[0.5321482999715954, 0.5881641001906246, 0.8043288001790643, 1.0123690001200885, 1.0761953999754041, 1.212123000063002, 1.5321200999896973]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,upkeep,kipper,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/meddle_touch_edited.mp4,divert,meddle,None,,,,,,,,,,,0,19,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, upkeep,"['u', 'p', 'k', 'e', 'e', 'p', 'return']","[0.5119618999306113, 0.8158862998243421, 0.960442999843508, 1.1277728998102248, 1.2724202999379486, 1.3037527999840677, 1.8076981999911368]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,convoy,plasma,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/jailer_touch_edited.mp4,nettle,jailer,None,,,,,,,,,,,0,20,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, convoy,"['c', 'o', 'n', 'b', 'o', 'y', 'backspace', 'backspace', 'backspace', 'v', 'o', 'y', 'return']","[1.562223399989307, 1.6818579998798668, 1.7539113000966609, 1.8978647000622004, 2.0101938999723643, 2.1058505000546575, 2.778195400023833, 2.8978363999631256, 3.0098860999569297, 3.481813699938357, 3.5858434999827296, 3.673931800061837, 4.209779999917373]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,impose,belfry,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/girdle_touch_edited.mp4,linear,girdle,None,,,,,,,,,,,0,21,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, impose,"['i', 'm', 'p', 'o', 's', 'e', 'return']","[0.5324611999094486, 0.7164845999795943, 0.8766276000533253, 0.9403623999096453, 1.0363910000305623, 1.2444688000250608, 1.380525799933821]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,murmur,ritual,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/clergy_touch_edited.mp4,portal,clergy,None,,,,,,,,,,,0,22,22,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, murmur,"['m', 'u', 'r', 'm', 'u', 'r', 'return']","[0.4630438999738544, 0.791284800041467, 1.0870841001160443, 1.1595769000705332, 1.3349766000173986, 1.4235330000519753, 2.0550987999886274]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,parole,solemn,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/befall_TT_3X.mp4,ration,befall,None,,,,,,,,,,,0,23,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, parole,"['p', 'a', 'r', 'o', 'l', 'e', 'return']","[0.026840500067919493, 0.13909989991225302, 0.34712719987146556, 0.4349112999625504, 0.6110084999818355, 0.6908849000465125, 1.2111380000133067]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,musket,subtle,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/fungal_touch_edited.mp4,mucous,fungal,None,,,,,,,,,,,0,24,24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, musket,"['m', 'u', 's', 'k', 'e', 't', 'return']","[0.512352199992165, 0.7045889999717474, 0.8164037999231368, 0.9123843000270426, 1.032399999909103, 1.1444021000061184, 1.4887099000625312]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,manure,picket,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/parish_touch_edited.mp4,gullet,parish,None,,,,,,,,,,,0,25,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, manure,"['m', 'a', 'n', 'u', 'r', 'e', 'return']","[0.4360350000206381, 0.5561275999061763, 0.6360948998481035, 0.7799308998510242, 0.9000411999877542, 1.0200618000235409, 1.4040245998185128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,ascend,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/metric_TT_3X.mp4,eatery,metric,2 = AOMIspec,,,,,,,,,,,0,26,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, plight,"['p', 'l', 'i', 'g', 'h', 't', 'return']","[0.2826489000581205, 0.34655550005845726, 0.690576400142163, 1.0986363000702113, 1.2025119001045823, 1.2991508000995964, 1.6825936001259834]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,revolt,virile,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/joiner_TT_3X.mp4,apathy,joiner,None,,,,,,,,,,,0,27,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, revolt,"['r', 'e', 'v', 'o', 'l', 't']","[0.38649730011820793, 0.45844050007872283, 0.7385834001470357, 0.8185886000283062, 0.9945964999496937, 1.0824641999788582]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,critic,obsess,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/zephyr_TT_3X.mp4,fusion,zephyr,None,,,,,,,,,,,0,28,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, critic,"['c', 'r', 'i', 't', 'i', 'c', 'return']","[0.4250302000436932, 0.6009364000055939, 0.7445483999326825, 0.8485441999509931, 0.9129216000437737, 1.0726894999388605, 1.2325047999620438]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,binder,forage,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/campus_touch_edited.mp4,allure,campus,None,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, binder,"['b', 'i', 'n', 'd', 'e', 'r', 'return']","[0.5830536999274045, 0.6632173999678344, 0.8228446999564767, 0.9827610999345779, 1.1433025000151247, 1.2711677998304367, 1.3830601999070495]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4'],[14.246190599864349],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['1'],[13.28146870015189],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,ascend,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/metric_TT_3X.mp4,eatery,metric,2 = AOMIspec,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"['b', 'u', 't', 't', 'e', 'r', 'return']","[0.6154332000296563, 0.7278986999299377, 0.9994958001188934, 1.143736300058663, 1.2635348001495004, 1.391525800107047, 1.6154773000162095]",None, eatery,"['e', 'a', 't', 'e', 'r', 'y', 'return']","[1.112866299925372, 1.3047401998192072, 1.5845247998367995, 1.76892269984819, 1.872912999941036, 1.9688446999061853, 2.400650199968368]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,manure,picket,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/parish_touch_edited.mp4,gullet,parish,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, gullet,"['g', 'u', 'l', 'l', 'e', 't', 'return']","[0.6395248998887837, 0.735954700037837, 1.0314087998121977, 1.1516217000316828, 1.2481599999591708, 1.4636050998233259, 1.6715155998244882]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,fodder,devise,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/mangle_touch_edited.mp4,warble,mangle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, warble,"['w', 'a', 'r', 'b', 'l', 'w', 'backspace', 'e', 'return']","[0.6721403000410646, 0.8881071000359952, 1.104118200019002, 1.2403516001068056, 1.5040692000184208, 1.648103800136596, 2.2006426001898944, 2.7923729000613093, 2.9121436001732945]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,critic,obsess,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/zephyr_TT_3X.mp4,fusion,zephyr,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, fusion,"['f', 'u', 's', 'i', 'o', 'n', 'return']","[0.6542789000086486, 0.8623615000396967, 1.2862252001650631, 1.3902740001212806, 1.5663494002074003, 1.6303163000848144, 2.086296700173989]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,vanity,matrix,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/hinder_TT_3X.mp4,breach,hinder,1 = AOMIgen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, breach,"['b', 'r', 'e', 'a', 'c', 'h', 'return']","[0.6519724000245333, 0.8522924000862986, 1.0039673000574112, 1.5722114001400769, 1.8525028999429196, 1.892018600134179, 2.412141799926758]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,jargon,frugal,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/oppose_TT_3X.mp4,ghetto,oppose,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ghetto,"['g', 'h', 'e', 't', 't', 'o', 'return']","[0.7105600999202579, 0.7828504999633878, 1.0546913999132812, 1.2867801999673247, 1.4306603998411447, 1.4946732998359948, 1.7746876999735832]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,impose,belfry,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/girdle_touch_edited.mp4,linear,girdle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, linear,"['l', 'i', 'n', 'e', 'a', 'r', 'return']","[0.686209199950099, 0.9185580001212656, 1.046286900062114, 1.4622452000621706, 1.686247100122273, 1.8066273999866098, 2.270312200067565]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,deduct,hippie,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/hearth_TT_3X.mp4,herbal,hearth,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, herbal,"['h', 'e', 'r', 'b', 'a', 'l', 'return']","[0.6923313001170754, 0.8844785001128912, 1.0043514999561012, 1.2444305999670178, 1.445027300156653, 1.6046068000141531, 2.1083939000964165]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,upkeep,kipper,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/meddle_touch_edited.mp4,divert,meddle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, divert,"['d', 'i', 'v', 'e', 'r', 't', 'return']","[0.6344498000107706, 0.8585294999647886, 1.0660550000611693, 1.266154499957338, 1.5943487000185996, 2.2349052999634296, 2.666360800154507]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,sherry,jackal,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/hamlet_TT_3X.mp4,shroud,hamlet,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, shroud,"['s', 'h', 'r', 'o', 'u', 'd', 'return']","[0.5379624001216143, 0.6418900999706239, 0.8102176000829786, 0.9298457999248058, 0.993817700073123, 1.1138683001045138, 1.713824399979785]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,convoy,plasma,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/jailer_touch_edited.mp4,nettle,jailer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, nettle,"['n', 'e', 't', 't', 'l', 'e', 'return']","[0.6899067999329418, 0.7859964000526816, 1.0099307000637054, 1.1539272998925298, 1.290155699942261, 1.3942875999491662, 1.562132699880749]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,revolt,virile,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/joiner_TT_3X.mp4,apathy,joiner,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, apathy,"['a', 'p', 'a', 't', 'h', 'y', 'return']","[0.7374846998136491, 0.841402699938044, 0.8892719999421388, 1.1372559999581426, 1.2252383998129517, 1.353306899778545, 1.5132103997748345]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,quarry,covert,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/patent_TT_3X.mp4,defame,patent,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, defame,"['d', 'e', 'f', 'a', 'm', 'e', 'return']","[0.6016907000448555, 0.7056700999382883, 0.8735503999050707, 1.0817684000357985, 1.2176280000712723, 1.3216909999027848, 1.5133593999780715]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,parole,solemn,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/befall_TT_3X.mp4,ration,befall,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ration,"['r', 'a', 't', 'i', 'o', 'n', 'return']","[0.6538333999924362, 1.0301176998764277, 1.293858899967745, 1.3578562999609858, 1.5905653999652714, 1.6298450999893248, 2.1260197998490185]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,infirm,pulpit,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/oblige_TT_3X.mp4,mystic,oblige,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mystic,"['m', 'y', 's', 't', 'i', 'c', 'return']","[0.6161704999394715, 0.8724501999095082, 1.0000495999120176, 1.2321339999325573, 1.320116400020197, 1.4800475998781621, 1.6407599998638034]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
