pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contBkgdKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI_promptBkgdKeys.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,campus,legion,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/virile_TT_3X.mp4,allure,virile,None,,,,,,,,,,,0,17,17,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, campus,"['c', 'a', 'm', 'p', 'u', 's', 'return']","[0.5122713999589905, 0.7202978000277653, 0.8800990999443457, 1.0407756000058725, 1.2881631000200287, 1.4002734000096098, 1.9282888999441639]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,meddle,musket,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/solemn_TT_3X.mp4,divert,solemn,None,,,,,,,,,,,0,18,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, meddle,"['m', 'e', 'd', 'd', 'l', 'e', 'return']","[0.7276687000412494, 0.8957462999969721, 1.0959035999840125, 1.2397303000325337, 1.3601574000203982, 1.4798663000110537, 1.8716557000298053]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,caviar,pursue,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/piston_TT_3X.mp4,shrill,piston,None,,,,,,,,,,,0,19,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, caviar,"['c', 'a', 'v', 'i', 'e', 'r', 'equal', 'equal', 'a', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'a', 'r', 'return']","[0.4751301999203861, 0.7070346999680623, 0.9871302000246942, 1.211167600005865, 1.3870981999207288, 1.4511676999973133, 1.9071184999775141, 2.0591537000145763, 2.163479399983771, 2.387100499938242, 2.5714837999548763, 2.7155179999535903, 2.8671458999160677, 3.09953000000678, 3.251149100018665, 3.347121699946001, 3.891435099998489]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,innate,critic,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/hippie_touch_edited.mp4,tamper,hippie,None,,,,,,,,,,,0,20,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, innate,"['i', 'n', 'n', 'a', 't', 'e', 'return']","[0.6917874999344349, 0.90828249999322, 1.0759767999406904, 1.2597868000157177, 1.4038399999262765, 1.5397357000038028, 2.0277546999277547]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,oblige,infirm,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/cervix_touch_edited.mp4,mystic,cervix,None,,,,,,,,,,,0,21,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, oblige,"['o', 'b', 'l', 'i', 'g', 'e', 'return']","[0.4332255000481382, 0.6330617000348866, 0.7614232000196353, 0.9529670000774786, 1.097036899998784, 1.3210033000214025, 1.9693667000392452]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,tandem,potent,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/malady_TT_3X.mp4,origin,malady,None,,,,,,,,,,,0,22,22,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, tandem,"['t', 'a', 'n', 'd', 'e', 'm', 'return']","[0.5634946000063792, 0.883284299983643, 1.0112839000066742, 1.171242699958384, 1.3316147999139503, 1.4513039999874309, 1.971473400015384]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,output,convoy,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/parcel_TT_3X.mp4,uphold,parcel,None,,,,,,,,,,,0,23,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, output,"['o', 'u', 't', 'p', 'u', 't', 'return']","[0.6390096000395715, 0.879009100026451, 1.0470149000175297, 1.1989286000607535, 1.4310454999795184, 1.5270381000591442, 2.0151095000328496]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,cobble,murmur,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/picket_TT_3X.mp4,export,picket,None,,,,,,,,,,,0,24,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, cobble,"['c', 'o', 'b', 'b', 'l', 'e', 'return']","[0.5929713000077754, 0.7450036000227556, 0.9209420999977738, 1.0570515000727028, 1.1770140000153333, 1.3051195000298321, 1.9131468000123277]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,feudal,impose,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/subdue_TT_3X.mp4,matron,subdue,None,,,,,,,,,,,0,25,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['f'], feudal,"['u', 'd', 'a', 'backspace', 'backspace', 'backspace', 'backspace', 'f', 'e', 'u', 'd', 'a', 'l', 'return']","[0.2434350000694394, 0.38753209996502846, 0.4994365000165999, 1.5081647000042722, 1.6676229999866337, 1.8201659000478685, 1.9794307000702247, 2.4994365000166, 2.771506799967028, 2.9153807000257075, 3.091663100058213, 3.5637151000555605, 3.8356316999997944, 4.11533329996746]",[2.780487700016238],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,fungal,brazen,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/matrix_TT_3X.mp4,mucous,matrix,None,,,,,,,,,,,0,26,26,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, fungal,"['f', 'u', 'n', 'g', 'a', 'l', 'return']","[0.7816348999040201, 0.9976509999250993, 1.1094875999260694, 1.269670799956657, 1.461447999929078, 1.5975239999825135, 2.1415103999897838]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,patent,binder,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/frugal_touch_edited.mp4,defame,frugal,None,,,,,,,,,,,0,27,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, patent,"['p', 'a', 't', 'e', 'n', 't', 'return']","[0.7146441000513732, 0.9225803000153974, 1.1626636000582948, 1.3308252000715584, 1.4665505000157282, 1.5785334000829607, 2.2346018000971526]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,girdle,manure,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/pulpit_TT_3X.mp4,linear,pulpit,None,,,,,,,,,,,0,28,28,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, girdle,"['g', 'i', 'r', 'd', 'l', 'e', 'return']","[0.4159274999983609, 0.6395522999810055, 0.8318523999769241, 1.039760100073181, 1.1756784999743104, 1.29558390006423, 1.7754877000115812]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,hinder,vanity,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/ascend_touch_edited.mp4,breach,ascend,1 = AOMIgen,,,,,,,,,,,0,29,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hinder,"['h', 'i', 'n', 'd', 'e', 'r', 'return']","[0.5347581000532955, 0.7348065000260249, 0.8147634000051767, 0.958773700054735, 1.11076489998959, 1.2070617999415845, 1.6627205000258982]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4'],[22.00409539998509],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4'],[16.35072400001809],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,metric,plight,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/belfry_touch_edited.mp4,eatery,belfry,2 = AOMIspec,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"['b', 'u', 't', 't', 'r', 'backspace', 'e', 'r', 'return']","[0.7137189999921247, 1.0015265999827534, 1.2499345999676734, 1.4096343000419438, 1.6335996999405324, 2.017734599998221, 2.1856120999436826, 2.258071899996139, 2.4898343000095338]",None, eatery,"['e', 'a', 't', 'e', 'r', 'y', 'return']","[1.10006169998087, 1.3160354999126866, 1.5723719999659806, 1.7804294999223202, 1.892238499945961, 2.0839258999330923, 2.860084499930963]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,shrewd,mirage,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/covert_touch_edited.mp4,revoke,covert,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, revoke,"['r', 'e', 'v', 'o', 'k', 'e', 'return']","[1.0222834999440238, 1.262294799904339, 1.5507442998932675, 1.7501311999512836, 1.8540864998940378, 2.070858799968846, 2.542102099978365]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,meddle,musket,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/solemn_TT_3X.mp4,divert,solemn,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, divert,"['d', 'i', 'v', 'e', 'r', 't', 'return']","[0.8808220999781042, 1.1209184000035748, 1.2807134999893606, 1.529131400049664, 1.6407514000311494, 1.880781100015156, 2.1367555999895558]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,oblige,infirm,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/cervix_touch_edited.mp4,mystic,cervix,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mystic,"['m', 'y', 's', 't', 'i', 'c', 'return']","[0.8912673000013456, 1.2275096999946982, 1.5552405000198632, 1.8201219000620767, 1.9714526000898331, 2.1314553000265732, 2.443432900006883]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,jailer,deduct,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/neural_TT_3X.mp4,nettle,neural,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, nettle,"['n', 'e', 't', 't', 'l', 'e', 'return']","[0.7254546000622213, 0.9015100999968126, 1.1094726000446826, 1.2536264000227675, 1.3973523000022396, 1.5096121000824496, 1.805482399999164]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,induce,savant,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/plasma_TT_3X.mp4,mussel,plasma,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mussel,"['m', 'u', 's', 's', 'e', 'l', 'return']","[0.5605527000734583, 0.8724938000086695, 1.1281767999753356, 1.2885762000223622, 1.5041613000212237, 1.6803477000212297, 2.3204322999808937]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,befall,goblet,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/devise_touch_edited.mp4,ration,devise,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ration,"['r', 'a', 't', 'i', 'o', 'n', 'return']","[0.6126938000088558, 1.0046592999715358, 1.26889919990208, 1.4528749999590218, 1.5009497000137344, 1.7246871999232098, 2.3889935999177396]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,clergy,coerce,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/obsess_TT_3X.mp4,portal,obsess,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, portal,"['p', 'o', 'r', 't', 'a', 'l', 'return']","[0.8190526000689715, 1.0351400000508875, 1.2351337999571115, 1.4110758999595419, 1.6190439000492916, 1.7794020000146702, 2.3230371000245214]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,fungal,brazen,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/matrix_TT_3X.mp4,mucous,matrix,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mucous,"['m', 'u', 'c', 'o', 'u', 's', 'return']","[0.6873457999899983, 0.9595911999931559, 1.3275603000074625, 1.4557778000598773, 1.5355192000279203, 1.6875367000466213, 2.2075787000358105]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,parish,upkeep,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/tariff_TT_3X.mp4,gullet,tariff,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, gullet,"['g', 'u', 'l', 'l', 'e', 't', 'return']","[0.5283582000993192, 0.7117020000005141, 0.9437565000262111, 1.071933600003831, 1.223715600091964, 1.3519016000209376, 1.7364172000670806]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,output,convoy,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/parcel_TT_3X.mp4,uphold,parcel,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, uphold,"['u', 'p', 'h', 'o', 'l', 'd', 'return']","[0.5392361000413075, 0.7548878999659792, 1.0271283000474796, 1.13084150000941, 1.3388412999920547, 1.4992492999881506, 2.075025700032711]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,hamlet,parole,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/falter_touch_edited.mp4,shroud,falter,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, shroud,"['s', 'h', 'r', 'o', 'u', 'd', 'return']","[0.7931478000245988, 0.9851713000098243, 1.193128600018099, 1.3218053999589756, 1.441268999944441, 1.6253241000231355, 1.857150699943304]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,campus,legion,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/virile_TT_3X.mp4,allure,virile,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, allure,"['a', 'l', 'l', 'u', 'r', 'e', 'return']","[0.7949095999356359, 0.9710246999748051, 1.114846199983731, 1.3631333999801427, 1.5076889999909326, 1.586987999966368, 1.8835383999394253]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,innate,critic,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/hippie_touch_edited.mp4,tamper,hippie,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, tamper,"['t', 'a', 'm', 'p', 'e', 'r', 'return']","[0.7618858000496402, 1.0338685000315309, 1.4817186000291258, 1.5857399000087753, 1.801762800081633, 1.8420465000672266, 2.3778368000639603]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,feudal,impose,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/subdue_TT_3X.mp4,matron,subdue,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, matron,"['m', 'a', 't', 'r', 'o', 'n', 'return']","[0.6232075999723747, 0.7747966999886557, 1.0149597000563517, 1.1348625000100583, 1.2790870000608265, 1.3670727000571787, 1.7107589000370353]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,mangle,satire,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/ritual_TT_3X.mp4,warble,ritual,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, warble,"['w', 'a', 'r', 'b', 'l', 'e', 'return']","[0.783101600012742, 0.9913328000111505, 1.4153995000524446, 1.7191806000191718, 1.8472416000440717, 1.9671464000130072, 2.495447800029069]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,zephyr,sherry,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/forage_touch_edited.mp4,fusion,forage,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, fusion,"['f', 'u', 's', 'i', 'o', 'n', 'return']","[0.7187799999956042, 0.9106783999595791, 1.1027691999915987, 1.254874199978076, 1.4067599999252707, 1.534640199970454, 1.9351369999349117]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,caviar,pursue,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/piston_TT_3X.mp4,shrill,piston,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, shrill,"['s', 'h', 'r', 'o', 'l', 'semicolon', 'backspace', 'backspace', 'i', 'l', 'l', 'return']","[0.37858269992284477, 0.6105548000195995, 0.9065468999324366, 1.0985884999390692, 1.3630259999772534, 1.3705823000054806, 2.010511399945244, 2.146930299932137, 2.3467790000140667, 2.4508822999196127, 2.602738399989903, 3.0748277999227867]",,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
