pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contBkgdKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI_promptBkgdKeys.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,primal,novice,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/confer_touch_edited.mp4,entail,confer,None,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, primal,"['p', 'r', 'i', 'm', 'a', 'l', 'return']","[0.6241604000097141, 0.8402166999876499, 1.0239039999432862, 1.2401032999623567, 1.4562532999552786, 1.6800592000363395, 2.024006800027564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,parish,upkeep,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/tariff_TT_3X.mp4,gullet,tariff,None,,,,,,,,,,,0,8,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, parish,"['p', 'a', 'r', 'i', 's', 'h', 'return']","[0.5982200000435114, 0.8544115000404418, 1.1264821999939159, 1.3580977000528947, 1.5262593999505043, 1.7180756999878213, 2.238278800039552]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,jailer,deduct,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/neural_TT_3X.mp4,nettle,neural,None,,,,,,,,,,,0,9,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, jailer,"['j', 'a', 'i', 'l', 'e', 'r', 'return']","[0.8745617000386119, 1.1063613999867812, 1.290449499967508, 1.5144469999941066, 1.7703721000580117, 2.026334800058976, 2.394410700071603]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,hearth,sonnet,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/kipper_touch_edited.mp4,herbal,kipper,None,,,,,,,,,,,0,10,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hearth,"['h', 'e', 'a', 'r', 't', 'h', 'return']","[0.6020409999182448, 0.8497398999752477, 1.0578562999144197, 1.2419496999355033, 1.4257072999607772, 1.6337005000095814, 1.978101299959235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,septic,quarry,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/jackal_touch_edited.mp4,ordain,jackal,None,,,,,,,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, septic,"['s', 'p', 't', 'i', 'backspace', 'backspace', 'backspace', 'e', 'p', 't', 'i', 'c', 'return']","[0.5412466999841854, 0.7491781000280753, 1.2216084999963641, 1.6932534000370651, 2.293587199994363, 2.4532319999998435, 2.6772470000432804, 3.037434700061567, 3.2214161000447348, 3.381369600072503, 3.5733817000873387, 3.7576956000411883, 4.301207700045779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,hamlet,parole,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/falter_touch_edited.mp4,shroud,falter,None,,,,,,,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hamlet,"['h', 'a', 'm', 'l', 'e', 't', 'return']","[0.4538383000763133, 0.669876900035888, 0.8699619000544772, 1.1738481000065804, 1.3098529999842867, 1.502207100042142, 1.8618814999936149]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,induce,savant,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/plasma_TT_3X.mp4,mussel,plasma,None,,,,,,,,,,,0,13,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, induce,"['i', 'n', 'd', 'u', 'c', 'e', 'return']","[0.5833968999795616, 0.7997618999797851, 1.0154037000611424, 1.1354425000026822, 1.2553932999726385, 1.3674475000007078, 1.9435222999891266]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,trench,fodder,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/subtle_TT_3X.mp4,ethnic,subtle,None,,,,,,,,,,,0,14,14,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, trench,"['t', 'r', 'e', 'n', 'c', 'h', 'return']","[0.648155500064604, 0.8641115000937134, 0.9282161000883207, 1.1601690000388771, 1.2961320000467822, 1.4243591000558808, 2.0005700000328943]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,metric,plight,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/belfry_touch_edited.mp4,eatery,belfry,2 = AOMIspec,,,,,,,,,,,0,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, metric,"['m', 'e', 't', 'r', 'i', 'c', 'return']","[0.40741139999590814, 0.6552502000704408, 0.8873124000383541, 1.0077678000088781, 1.1833291000220925, 1.3355099000036716, 1.9037343000527471]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,delude,strife,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/debtor_touch_edited.mp4,galley,debtor,None,,,,,,,,,,,0,16,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, delude,"['d', 'e', 'l', 'u', 'd', 'e', 'return']","[0.568975199945271, 0.7769617999438196, 0.9369534000288695, 1.1448620000155643, 1.2731713999528438, 1.3531045999843627, 1.7770149999996647]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
