pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,pracBkgdKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,botany,ethnic,6.5,7.5,video&audio/trench_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,trench,fodder,None,,,,,,,,,,,0,7,7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, botany,"['b', 'o', 't', 'n', 'a', 'backspace', 'backspace', 'a', 'n', 'y', 'return']","[0.756614200072363, 0.9086855000350624, 1.0845574999693781, 1.4684813001658767, 1.6925433001015335, 2.341243000002578, 2.5325603999663144, 2.9646372001152486, 3.0611294000409544, 3.3005751001182944, 3.660615000175312]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,forage,allure,6.5,7.5,video&audio/campus_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,campus,legion,None,,,,,,,,,,,0,8,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, forage,"['f', 'o', 'r', 'a', 'g', 'e', 'return']","[0.5958958000410348, 0.6998566000256687, 0.8439837000332773, 1.0519693999085575, 1.5958722999785095, 1.73992699990049, 1.8440195000730455]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,ascend,eatery,19.5,20.5,video&audio/metric_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,metric,plight,2 = AOMIgen,,,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ascend,"['a', 's', 'w', 'backspace', 'c', 'e', 'n', 'd', 'return']","[0.36943279998376966, 0.5453081999439746, 0.5774103999137878, 1.7134192998055369, 2.321451799944043, 2.5533670999575406, 2.6413802998140454, 2.7854168999474496, 2.945644599851221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,pulpit,mystic,19.5,20.5,video&audio/oblige_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,oblige,infirm,None,,,,,,,,,,,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, pulpit,"['p', 'u', 'l', 'p', 't', 'i', 'backspace', 'backspace', 'o', 't', 'backspace', 'backspace', 'i', 't', 'return']","[0.4635347998701036, 0.6958001998718828, 0.7914414000697434, 1.1035935999825597, 1.2714001999702305, 1.3275079999584705, 1.8234649999067187, 1.9915481000207365, 2.7115815998986363, 2.8636326999403536, 3.319506400031969, 3.4394668000750244, 3.743496499955654, 3.975724699907005, 4.55959689989686]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,frugal,ghetto,19.5,20.5,video&audio/oppose_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,oppose,jargon,None,,,,,,,,,,,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, frugal,"['f', 'r', 'u', 'g', 'a', 'l', 'return']","[0.4196770000271499, 0.6684475999791175, 0.8438125001266599, 1.0118693001568317, 1.2119782001245767, 1.3317715001758188, 1.6277544000186026]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing the same word you will need to type at various speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone typing different words to what you must type at various speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/afford_touch_edited.mp4,video&audio/amount_touch_edited.mp4,matrix,breach,19.5,20.5,video&audio/hinder_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,hinder,vanity,1 = AOMIspec,,,,,,,,,,,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, matrix,"['m', 'a', 't', 'r', 'i', 'x', 'return']","[0.5626848998945206, 0.7386600999161601, 1.0669334998819977, 1.226992700016126, 1.3387140999548137, 1.7628692998550832, 1.8267667999025434]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,falter,origin,6.5,7.5,video&audio/tandem_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,tandem,potent,None,,,,,,,,,,,0,13,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, falter,"['f', 'a', 't', 'backspace', 'l', 't', 'e', 'r', 'return']","[0.39155669999308884, 0.5836748001165688, 1.0956149999983609, 1.5119102001190186, 1.7916256000753492, 1.9117302999366075, 2.1837536999955773, 2.2717910001520067, 2.431561700068414]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,plasma,nettle,6.5,7.5,video&audio/jailer_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,jailer,deduct,None,,,,,,,,,,,0,14,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, plasma,"['p', 'l', 'a', 's', 'm', 'a', 'return']","[0.3534653999377042, 0.5615348001010716, 0.7297018000390381, 1.041666999924928, 1.1695096001494676, 1.2974650000687689, 1.4255506999325007]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,hippie,herbal,19.5,20.5,video&audio/hearth_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,hearth,sonnet,None,,,,,,,,,,,0,15,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hippie,"['h', 'i', 'p', 'p', 'i', 'e', 'return']","[0.3217423998285085, 0.5297643998637795, 0.8897233000025153, 1.0501146998722106, 1.5937315998598933, 1.7218712999019772, 1.9216400999575853]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,debtor,uphold,6.5,7.5,video&audio/output_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,output,convoy,None,,,,,,,,,,,0,16,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, debtor,"['d', 'e', 'b', 't', 'o', 'r', 'return']","[0.5825457000173628, 0.7908229001332074, 0.9031724000815302, 1.1668126001022756, 1.4788898001424968, 1.6306419000029564, 1.7826286000199616]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
