pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,pracBkgdKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,solemn,ration,19.5,20.5,video&audio/befall_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,befall,goblet,None,,,,,,,,,,,0,17,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, solemn,"['s', 'o', 'l', 'e', 'm', 'n', 'return']","[0.37329689995385706, 0.46915949997492135, 0.7012841000687331, 1.045212300028652, 1.2132526999339461, 1.3972308998927474, 1.6131831998936832]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,subtle,mucous,6.5,7.5,video&audio/fungal_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,fungal,brazen,None,,,,,,,,,,,0,18,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, subtle,"['s', 'u', 'b', 't', 'l', 'e', 'return']","[0.5947485000360757, 0.690522399963811, 0.923200000077486, 1.1865654999855906, 1.2745326000731438, 1.410615999950096, 1.65867600007914]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,covert,defame,19.5,20.5,video&audio/patent_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,patent,binder,None,,,,,,,,,,,0,19,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, covert,"['c', 'o', 'v', 'e', 'r', 't', 'return']","[0.39199410006403923, 0.520020600175485, 0.6801025001332164, 0.9039488001726568, 1.0961968000046909, 1.2722709001973271, 1.360021200031042]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,ritual,portal,6.5,7.5,video&audio/clergy_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,clergy,coerce,None,,,,,,,,,,,0,20,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ritual,"['r', 't', 'backspace', 'i', 't', 'u', 'a', 'p', 'semicolon', 'backspace', 'l', 'return']","[0.6558821999933571, 0.8799598999321461, 1.22404529992491, 1.4640047000721097, 1.5759517999831587, 1.8079981999471784, 1.9362631998956203, 2.0638512999285012, 2.0720522000920027, 2.7361598000861704, 3.032092599896714, 3.2318601000588387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,picket,gullet,6.5,7.5,video&audio/parish_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,parish,upkeep,None,,,,,,,,,,,0,21,21,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, picket,"['p', 'i', 'k', 'c', 'backspace', 'backspace', 'c', 'k', 'e', 't', 'return']","[0.35684920009225607, 1.1730376000050455, 1.4849505999591202, 1.620929399970919, 1.8369144001044333, 2.0211028999183327, 2.261174200102687, 2.708995799999684, 2.8448681998997927, 3.061261000111699, 3.1488805001135916]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,cervix,export,6.5,7.5,video&audio/cobble_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,cobble,murmur,None,,,,,,,,,,,0,22,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, cervix,"['c', 'e', 'r', 'v', 'i', 'x', 'return']","[0.43661589990369976, 0.6684127999469638, 0.8284668000414968, 1.0606315999757499, 1.2926491000689566, 1.6848162000533193, 1.8445417999755591]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,belfry,linear,6.5,7.5,video&audio/girdle_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,girdle,manure,None,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, belfry,"['b', 'e', 'l', 'f', 'r', 'u', 'backspace', 'y', 'return']","[0.3695979998447001, 0.49745029979385436, 0.690069800009951, 0.9773355999495834, 2.2093350999057293, 2.4253708999603987, 2.79351759981364, 2.897482299944386, 3.0977247999981046]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,tariff,galley,19.5,20.5,video&audio/delude_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,delude,strife,None,,,,,,,,,,,0,24,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, tariff,"['t', 'a', 'r', 'i', 'f', 'f', 'return']","[0.5802213998977095, 0.9563047999981791, 1.2043242999352515, 1.5964345999527723, 1.7161233997903764, 1.8446663999930024, 1.9563817998860031]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,obsess,fusion,19.5,20.5,video&audio/zephyr_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,zephyr,sherry,None,,,,,,,,,,,0,25,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, obsess,"['i', 'backspace', 'o', 'b', 's', 'e', 's', 's', 'return']","[0.6931522998493165, 1.1091560998465866, 1.4456638998817652, 1.6932705999352038, 1.9413095000199974, 2.445488299941644, 2.6531823999248445, 3.0772354998625815, 3.205256599932909]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,kipper,divert,6.5,7.5,video&audio/meddle_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,meddle,musket,None,,,,,,,,,,,0,26,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, kipper,"['k', 'i', 'p', 'p', 'e', 'r', 'return']","[0.6764811999164522, 0.8528195999097079, 1.0606136999558657, 1.2201918999198824, 1.380176000064239, 1.5643233999144286, 1.9962416000198573]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,confer,tamper,19.5,20.5,video&audio/innate_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,innate,critic,None,,,,,,,,,,,0,27,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, confer,"['c', 'o', 'n', 'f', 'e', 'r', 'return']","[0.29971420019865036, 0.4431831000838429, 0.6035353001207113, 0.8272344002034515, 1.0351847000420094, 1.1312872001435608, 1.2911582000087947]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,devise,warble,6.5,7.5,video&audio/mangle_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,mangle,satire,None,,,,,,,,,,,0,28,28,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, devise,"['d', 'e', 'v', 'i', 's', 'e', 'return']","[0.31307439994998276, 0.585135499946773, 0.8653835998848081, 1.001491699833423, 1.1293816999532282, 1.2411934998817742, 1.385045199887827]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,virile,apathy,19.5,20.5,video&audio/joiner_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,joiner,revolt,None,,,,,,,,,,,0,29,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, virile,"['v', 'i', 'r', 'i', 'l', 'e', 'return']","[0.31612999993376434, 0.4602955000009388, 0.6521415999159217, 0.8680821999441832, 1.1721341998782009, 1.3401293999049813, 1.4680075000505894]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['3'],[15.213076999876648],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4'],[7.5202345999423414],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,devise,warble,6.5,7.5,video&audio/mangle_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,mangle,satire,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"['b', 'u', 't', 't', 'e', 'r', 'return']","[0.6112311999313533, 0.9627100999932736, 1.0749244999606162, 1.4186495998874307, 1.586706900037825, 1.6746877999976277, 1.8587584998458624]",None, mangle,"['m', 'a', 'n', 'g', 'l', 'e', 'delete', 'return']","[1.651977299945429, 2.067237799987197, 2.1710782998707145, 2.4273107999470085, 2.4677028998266906, 3.011299999896437, 3.1471657999791205, 3.6113978000357747]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,pulpit,mystic,19.5,20.5,video&audio/oblige_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,oblige,infirm,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, oblige,"['o', 'b', 'l', 'i', 'g', 'e', 'return']","[0.6518176000099629, 0.8749182999599725, 0.9712043998297304, 1.2108961998019367, 1.3397489998023957, 1.5949904997833073, 1.699054399970919]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,jackal,shroud,19.5,20.5,video&audio/hamlet_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,hamlet,parole,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, hamlet,"['a', 'm', 'l', 'e', 't', 'delete', 'return']","[0.7773706000298262, 0.9289604001678526, 1.2010923000052571, 1.3051146001089364, 1.7850866001099348, 1.9290274002123624, 2.273071900010109]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,neural,ordain,19.5,20.5,video&audio/septic_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,septic,quarry,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, septic,"['s', 'e', 'p', 'c', 't', 'backspace', 'backspace', 't', 'i', 'c', 'return']","[0.6494553000666201, 0.8726737000979483, 0.9767895999830216, 1.448679800145328, 1.8405407001264393, 2.1925278999842703, 2.4564841999672353, 2.5128695000894368, 3.200647700112313, 3.3845848999917507, 3.504630299983546]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,piston,shrill,6.5,7.5,video&audio/caviar_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,caviar,pursue,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,['return'], caviar,"['c', 'a', 'v', 'i', 'a', 'r', 'return']","[0.6208143997937441, 0.7969301999546587, 1.388861799845472, 1.5331847998313606, 1.780807999894023, 1.9887762998696417, 2.1408423997927457]",[0.17077640001662076],,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,confer,tamper,19.5,20.5,video&audio/innate_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,innate,critic,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,['return'], innate,"['i', 'n', 'n', 'a', 't', 'e', 'return']","[0.7714482999872416, 1.003482900094241, 1.3475338001735508, 1.5474572000093758, 1.8035552001092583, 2.027437600074336, 2.187360499985516]",[0.016726699890568852],,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,hippie,herbal,19.5,20.5,video&audio/hearth_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,hearth,sonnet,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,['return'], hearth,"['h', 'a', 'backspace', 'e', 'a', 'r', 't', 'h', 'return']","[0.6763623000588268, 1.0440051001496613, 1.7241124999709427, 1.9163609000388533, 2.0680448000784963, 2.308095399988815, 2.483932100003585, 2.603912200080231, 2.8443828001618385]",[0.007420499809086323],,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,subtle,mucous,6.5,7.5,video&audio/fungal_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,fungal,brazen,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, fungal,"['f', 'u', 'n', 'f', 'backspace', 'g', 'l', 'backspace', 'a', 'l', 'o', 'return']","[0.7369232999626547, 1.1048218000214547, 1.3288152001332492, 1.5609703999944031, 1.864777399925515, 2.016900100046769, 2.3289073000196368, 2.6967883000615984, 2.7692366000264883, 2.960763700073585, 2.968733699992299, 3.520737800048664]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,covert,defame,19.5,20.5,video&audio/patent_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,patent,binder,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, patent,"['p', 'a', 't', 'e', 'n', 't', 'return']","[0.690782300196588, 0.8265392000321299, 1.1065895999781787, 1.3066130001097918, 1.4267224001232535, 1.5706897000782192, 1.7226851000450552]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,ascend,eatery,19.5,20.5,video&audio/metric_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,metric,plight,2 = AOMIgen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, metric,"['m', 'e', 't', 'r', 'i', 'c', 'return']","[0.5985615998506546, 0.7903522998094559, 1.0221060998737812, 1.2144998998846859, 1.3503176998347044, 1.5022048999089748, 1.678234999999404]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,cervix,export,6.5,7.5,video&audio/cobble_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,cobble,murmur,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, cobbl,"['c', 'o', 'b', 'b', 'l', 'return']","[1.1621354999952018, 1.386056900024414, 1.5859846000093967, 1.8747056999709457, 2.0500294000376016, 2.322205000091344]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,debtor,uphold,6.5,7.5,video&audio/output_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,output,convoy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,['return'], output,"['o', 'u', 't', 'p', 'u', 't', 'return']","[0.6966283998917788, 0.9287838998716325, 1.1285303998738527, 1.3607365998905152, 1.6330579000059515, 1.8485187999904156, 2.0491569000296295]",[0.19353419984690845],,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,kipper,divert,6.5,7.5,video&audio/meddle_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,meddle,musket,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, meddle,"['m', 'e', 'd', 'd', 'l', 'e', 'return']","[0.5614704999607056, 0.7536616998258978, 0.953592199832201, 1.1616357997991145, 1.27348449989222, 1.4255589998792857, 1.5538018997758627]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,picket,gullet,6.5,7.5,video&audio/parish_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,parish,upkeep,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, parish,"['p', 'a', 'r', 'i', 's', 'h', 'return']","[0.7120777000673115, 0.9201791000086814, 1.144459499977529, 1.3209640001878142, 1.4400941000785679, 1.57623380003497, 1.9201992000453174]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,belfry,linear,6.5,7.5,video&audio/girdle_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,girdle,manure,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, girdle,"['g', 'i', 'r', 'l', 'd', 'backspace', 'backspace', 'd', 'o', 'e', 'backspace', 'backspace', 'l', 'e', 'return']","[0.567627300042659, 0.7518615999724716, 0.8796540000475943, 1.3437125000637025, 1.75955619988963, 2.071773099945858, 2.2316038999706507, 2.391693799989298, 2.54361639986746, 2.6476121000014246, 3.039798399899155, 3.175960300024599, 3.70368400006555, 3.8077026000246406, 4.4155506999231875]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,subdue,matron,6.5,7.5,video&audio/feudal_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,feudal,impose,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, feudal,"['f', 'e', 'u', 'd', 'a', 'l', 'return']","[0.6535362000577152, 0.8054698999039829, 0.9977732000406832, 1.1815130000468343, 1.341527699958533, 1.469493699958548, 1.8534510999452323]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,obsess,fusion,19.5,20.5,video&audio/zephyr_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,zephyr,sherry,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, zephyr,"['z', 'z', 'backspace', 'e', 'p', 'h', 'y', 'r', 'return']","[0.5968687999993563, 0.7409401999320835, 1.1887539001181722, 1.3408927000127733, 1.9489154000766575, 2.1250497999135405, 2.564788700081408, 2.6851312001235783, 2.8690070000011474]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,virile,apathy,19.5,20.5,video&audio/joiner_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,joiner,revolt,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, joiner,"['j', 'o', 'i', 'n', 'e', 'r', 'return']","[0.6557603999972343, 0.9280196998734027, 1.1119903000071645, 1.3439361997880042, 1.632392399944365, 1.8240847999695688, 1.9597157000098377]",,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
