pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI_promptBkgdKeys.rt,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,export,savant,19.5,20.5,video&audio/parcel_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,parcel,cobble,None,,,,,,,,,,,0,7,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, export,"['e', 'x', 'p', 'o', 'r', 't', 'return']","[0.5297701000235975, 1.0420236000791192, 1.1618792000226676, 1.313649700023234, 1.4584735999815166, 1.5538445999845862, 1.7539598001167178]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,divert,upkeep,19.5,20.5,video&audio/solemn_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,solemn,meddle,None,,,,,,,,,,,0,8,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, divert,"['d', 'i', 'v', 'e', 'r', 't', 'return']","[0.5032130999024957, 0.6471434000413865, 0.7677909999620169, 0.9035072000697255, 1.0079687000252306, 1.2556191000621766, 1.3916917000897229]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,linear,impose,19.5,20.5,video&audio/pulpit_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,pulpit,girdle,None,,,,,,,,,,,0,9,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, linear,"['l', 'i', 'n', 'e', 'a', 'r', 'return']","[0.5880156999919564, 0.7714271999429911, 0.9480290000792593, 1.0835802000947297, 1.323472100077197, 1.492674299981445, 1.7714848001487553]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,galley,strife,6.5,7.5,video&audio/debtor_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,debtor,delude,None,,,,,,,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, galley,"['g', 'a', 'l', 'l', 'e', 'y', 'return']","[0.32505139987915754, 0.8450313999783248, 1.0607640999369323, 1.172836999874562, 1.3248950999695808, 1.445207699900493, 1.8133717000018805]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,shrill,brazen,19.5,20.5,video&audio/picket_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,picket,caviar,None,,,,,,,,,,,0,11,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, shrill,"['s', 'h', 'r', 'i', 'l', 'l', 'return']","[0.6781365999486297, 0.8142522000707686, 0.9821550999768078, 1.134353999979794, 1.3344517000950873, 1.4542992999777198, 1.6941442000679672]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,nettle,convoy,19.5,20.5,video&audio/matrix_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,matrix,jailer,None,,,,,,,,,,,0,12,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, nettle,"['n', 'e', 't', 't', 'l', 'e', 'return']","[0.5539456000551581, 0.6824543999973685, 0.8335583999287337, 1.0417096000164747, 1.1376387998461723, 1.2419704999774694, 1.394017699873075]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,ghetto,jargon,6.5,7.5,video&audio/botany_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,botany,oppose,None,,,,,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ghetto,"['g', 'h', 'e', 't', 't', 'o', 'return']","[0.37076590000651777, 0.5303077001590282, 0.8184848001692444, 1.0027664999943227, 1.1868006000295281, 1.2914494001306593, 1.6187415001913905]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,warble,fodder,19.5,20.5,video&audio/ritual_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,ritual,mangle,None,,,,,,,,,,,0,14,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, warble,"['w', 'a', 'r', 'b', 'l', 'e', 'return']","[0.5425450999755412, 0.6694116999860853, 0.8615200999192894, 1.1097484999336302, 1.2373990998603404, 1.3812216999940574, 1.7572084998246282]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,matron,legion,19.5,20.5,video&audio/subdue_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,subdue,feudal,None,,,,,,,,,,,0,15,15,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, matron,"['m', 'a', 't', 'r', 'o', 'n', 'return']","[0.49784069997258484, 0.6263433999847621, 0.8905311000999063, 1.0105485001113266, 1.1947258999571204, 1.986376800108701, 2.113888300023973]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,entail,novice,6.5,7.5,video&audio/confer_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,confer,primal,None,,,,,,,,,,,0,16,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, entail,"['e', 'n', 't', 'a', 'i', 'l', 'return']","[0.5430764001794159, 0.7114077000878751, 0.8073537000454962, 0.9830348000396043, 1.095448900014162, 1.296129500027746, 1.5750271000433713]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
