pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,piston,caviar,19.5,20.5,video&audio/shrill_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,shrill,brazen,None,,,,,,,,,,,0,24,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, piston,"['p', 'i', 's', 't', 'o', 'n', 'return']","[0.5024861999991117, 0.5747682000001078, 0.742610400000558, 0.9905739999994694, 1.1187140000001818, 1.3667238000016368, 1.774674700001924]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,devise,mangle,19.5,20.5,video&audio/warble_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,warble,fodder,None,,,,,,,,,,,0,25,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, devise,"['d', 'e', 'v', 'i', 's', 'e', 'return']","[0.5903642000012042, 0.8064360999997007, 0.9905166999997164, 1.2065302000009979, 1.3425480000005336, 1.4944486999993387, 2.1903333000009297]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,covert,patent,6.5,7.5,video&audio/defame_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,defame,quarry,None,,,,,,,,,,,0,26,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, covert,"['c', 'o', 'v', 'e', 'r', 't', 'return']","[0.3084619000001112, 0.39655109999876004, 0.7246008000001893, 0.8211149999988265, 0.9325633000007656, 1.1726086000016949, 1.2926590999995824]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,subtle,fungal,19.5,20.5,video&audio/mucous_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,mucous,musket,None,,,,,,,,,,,0,27,27,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, subtle,"['s', 'u', 'b', 'e', 'backspace', 't', 'l', 'e', 'return']","[0.6734975999970629, 0.7448256999996374, 0.9608320999977877, 1.2491321999987122, 1.6968779999988328, 1.992802799999481, 2.3368871999991825, 2.4488226999965264, 2.664999999997235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,jackal,hamlet,6.5,7.5,video&audio/shroud_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,shroud,sherry,None,,,,,,,,,,,0,28,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, jackal,"['j', 'a', 'c', 'k', 'a', 'l', 'return']","[0.4243408999973326, 0.5364198999996006, 0.7843175999987579, 0.9844175999969593, 1.2082915999999386, 1.4004771999971126, 1.7364987000000838]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,plasma,jailer,19.5,20.5,video&audio/nettle_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,nettle,convoy,None,,,,,,,,,,,0,29,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, plasma,"['p', 'l', 'a', 's', 'm', 'a', 'return']","[0.3457980999992287, 0.45774339999843505, 0.6817244999983814, 0.9377263999995193, 1.1220083000007435, 1.2418477999999595, 1.369746699998359]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['3'],[21.81919249999919],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['1'],[29.595423099999607],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,pulpit,oblige,6.5,7.5,video&audio/mystic_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,mystic,infirm,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"['b', 'u', 't', 't', 'e', 'r', 'return']","[0.5807449000021734, 0.6609978000014962, 0.9168550000031246, 1.0928584000030241, 1.2049183000017365, 1.372738500002015, 1.5247964000009233]",None, mystic,"['m', 'y', 's', 't', 'i', 'c', 'return']","[0.7819547999970382, 1.038065499997174, 1.2217444999987492, 1.5741930999975011, 1.7897245999993174, 2.2144459999981336, 2.3576925999986997]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,solemn,befall,6.5,7.5,video&audio/ration_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,ration,parole,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ration,"['r', 'a', 't', 'i', 'o', 'n', 'return']","[0.36784239999906276, 0.4561035000006086, 0.7361630000013974, 0.8319424000001163, 0.9042957999990904, 1.151766499999212, 1.3998217000007571]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,forage,campus,19.5,20.5,video&audio/allure_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,allure,binder,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, allure,"['a', 'l', 'l', 'u', 'r', 'e', 'return']","[0.4545250999981363, 0.6701766999976826, 0.8627964000006614, 1.0544592999976885, 1.1823363000003155, 1.3343198000002303, 1.6462554999998247]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,plasma,jailer,19.5,20.5,video&audio/nettle_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,nettle,convoy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, nettle,"['n', 'e', 't', 't', 'l', 'e', 'return']","[0.47909989999971003, 0.5673819000003277, 0.815256900001259, 0.9996237000013934, 1.2234690000004775, 1.6391820999997435, 1.999251600002026]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,parcel,primal,6.5,7.5,video&audio/entail_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,entail,novice,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, entail,"['e', 'n', 't', 'a', 'i', 'l', 'return']","[0.446709899999405, 0.5344685999989451, 0.8064195999977528, 0.9507100999981049, 1.0945517999971344, 1.2388775999970676, 1.5744989999984682]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,jackal,hamlet,6.5,7.5,video&audio/shroud_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,shroud,sherry,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,['return'], shroud,"['s', 'h', 'r', 'o', 'u', 'd', 'return']","[0.49221850000321865, 0.5805536000007123, 0.8362847000025795, 1.1882067000005918, 1.3161495000022114, 1.5166152000019792, 1.7084650000033434]",[0.23709629999939352],,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,subdue,feudal,19.5,20.5,video&audio/matron_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,matron,legion,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, matron,"['m', 'a', 't', 'r', 'o', 'n', 'return']","[0.43472509999992326, 0.5303931000016746, 0.8982715000020107, 1.130874100002984, 1.2103115999998408, 1.3306760000014037, 1.5943151999999827]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,kipper,meddle,19.5,20.5,video&audio/divert_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,divert,upkeep,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, divert,"['d', 'i', 'v', 'e', 'r', 't', 'return']","[0.49398919999657664, 0.6142104999998992, 0.8861918999973568, 0.9980195999996795, 1.109769699996832, 1.3343043999993824, 1.4701005999995687]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,obsess,zephyr,6.5,7.5,video&audio/fusion_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,fusion,critic,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, fusion,"['f', 'u', 's', 'i', 'o', 'n', 'return']","[0.3772874000023876, 0.4576431000023149, 0.6973748000018531, 0.8896085000014864, 1.1053165000012086, 1.3295145000010962, 1.601296299999376]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,picket,parish,19.5,20.5,video&audio/gullet_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,gullet,manure,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, gullet,"['g', 'u', 'l', 'l', 'e', 't', 'return']","[0.36832780000258936, 0.45628490000308375, 0.6885383000008005, 0.8483198000030825, 0.952404600000591, 1.0803852000026382, 1.2484926000033738]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,tariff,delude,6.5,7.5,video&audio/galley_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,galley,strife,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, galley,"['g', 'a', 'l', 'l', 'e', 'y', 'return']","[0.47505200000159675, 0.6273414999996021, 0.7791074000015215, 0.9390684999998484, 1.2431810000016412, 1.3391083999995317, 1.6673023000003013]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,hippie,hearth,6.5,7.5,video&audio/herbal_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,herbal,deduct,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, herbal,"['h', 'e', 'r', 'b', 'a', 'l', 'return']","[0.38379840000197873, 0.471887700001389, 0.5842235000018263, 0.7282382000012149, 0.8562173000027542, 1.2637458999997762, 1.512199500000861]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,debtor,output,19.5,20.5,video&audio/uphold_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,uphold,pursue,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, uphold,"['u', 'p', 'h', 'o', 'l', 'd', 'return']","[0.3610221000017191, 0.4406563000011374, 0.696670000001177, 0.8087453000007372, 1.0170699000009336, 1.2250011000032828, 1.4329117000015685]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,botany,trench,19.5,20.5,video&audio/ethnic_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,ethnic,goblet,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ethnic,"['e', 't', 'h', 'n', 'i', 'c', 'return']","[0.511466299998574, 0.6155017000019143, 0.76764760000151, 1.2951968999987002, 1.3992016000011063, 1.5514904000010574, 1.7355351000005612]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,belfry,girdle,19.5,20.5,video&audio/linear_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,linear,impose,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, linear,"['l', 'i', 'n', 'e', 'r', 'backspace', 'a', 'r', 'return']","[0.4906790999993973, 0.6029497000017727, 0.81890100000237, 0.930609099999856, 1.0825863999998546, 1.435791200001404, 1.650679800000944, 1.7626725000009174, 1.9550151000003098]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,malady,shrewd,6.5,7.5,video&audio/revoke_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,revoke,mirage,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, revoke,"['r', 'e', 'v', 'o', 'k', 'e', 'return']","[0.44768910000129836, 0.520193799999106, 1.3598462000009022, 1.4797933000008925, 1.6558382000002894, 1.7838617999987036, 1.959968300001492]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,confer,innate,6.5,7.5,video&audio/tamper_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,tamper,sonnet,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, tamper,"['t', 'a', 'm', 'p', 'e', 'r', 'return']","[0.2922913000002154, 0.5005359999995562, 0.9485858000007283, 1.2123365000006743, 1.3324905000008584, 1.436258400000952, 1.652330200002325]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,frugal,oppose,6.5,7.5,video&audio/ghetto_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,ghetto,jargon,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ghetto,"['g', 'h', 'e', 't', 't', 'o', 'return']","[0.42513899999903515, 0.5052123999994365, 0.9693007999994734, 1.1854485999974713, 1.3531001999981527, 1.4570871999967494, 2.1374080999994476]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing the same word you will need to type at various speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone typing different words to what you must type at various speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/afford_touch_edited.mp4,video&audio/amount_touch_edited.mp4,matrix,hinder,6.5,7.5,video&audio/breach_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,breach,vanity,1 = AOMIspec,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, breach,"['b', 'r', 'e', 'a', 'c', 'h', 'return']","[0.4532059000011941, 0.533203399998456, 0.661168099999486, 0.8291791000010562, 1.2852316999997129, 1.3811830999984522, 1.6215737000020454]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,virile,joiner,6.5,7.5,video&audio/apathy_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,apathy,revolt,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, apathy,"['a', 'p', 't', 'h', 'y', 'return']","[0.5191569999988133, 0.6229801000008592, 1.06297160000031, 1.17498980000164, 1.383389200000238, 1.9753240999998525]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,ritual,clergy,19.5,20.5,video&audio/portal_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,portal,murmur,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, portal,"['p', 'o', 'r', 't', 'a', 'l', 'return']","[0.9071447999995144, 0.9629234999993059, 1.1872151999996277, 1.6749829000000318, 1.8194376999999804, 1.9788244000010309, 2.194894000000204]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,cortex,induce,19.5,20.5,video&audio/mussel_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,mussel,satire,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mussel,"['m', 'u', 's', 's', 'e', 'l', 'return']","[0.6370768000015232, 0.7091394999988552, 0.9810763999994379, 1.2054224999992584, 1.4610935000018799, 1.653135000000475, 1.9018028999998933]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,covert,patent,6.5,7.5,video&audio/defame_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,defame,quarry,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, defame,"['d', 'e', 'f', 'a', 'm', 'e', 'return']","[0.43389920000117854, 0.5215127999981632, 0.8257765999987896, 1.0655860000006214, 1.2016383000009228, 1.39376909999919, 1.8816917000003741]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,piston,caviar,19.5,20.5,video&audio/shrill_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,shrill,brazen,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, shrill,"['s', 'h', 'r', 'i', 'l', 'l', 'return']","[0.5123710000007122, 0.6324682999984361, 0.8725938999996288, 0.9924711999992724, 1.288740100000723, 1.4804354000007152, 1.7446256000002904]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,ascend,metric,6.5,7.5,video&audio/eatery_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,eatery,plight,2 = AOMIgen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, eatery,"['e', 'a', 't', 'e', 'r', 'y', 'return']","[0.6442097999970429, 0.7481641999984276, 0.9482157999991614, 1.252036499998212, 1.6680313999968348, 2.5881303999995, 2.708306199998333]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,devise,mangle,19.5,20.5,video&audio/warble_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,warble,fodder,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, warble,"['w', 'a', 'r', 'b', 'l', 'e', 'return']","[0.41738599999735015, 0.5613073999993503, 0.8815394999983255, 1.041436600000452, 1.273332599997957, 1.417560499998217, 1.7694152999974904]",,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
