pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,falter,tandem,19.5,20.5,video&audio/origin_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,origin,coerce,None,,,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, falter,"['f', 'a', 'l', 't', 'e', 'r', 'return']","[0.3457842999996501, 0.44195159999799216, 0.6420699000009336, 0.9937296999996761, 1.0977994999993825, 1.2899945999997726, 1.409769800000504]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,parcel,primal,6.5,7.5,video&audio/entail_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,entail,novice,None,,,,,,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, parcel,"['p', 'a', 'r', 'c', 'e', 'l', 'return']","[0.43308880000040517, 0.5131538999994518, 0.7852032000009785, 1.1690684000022884, 1.289462700002332, 1.465501700000459, 1.6650468000007095]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,forage,campus,19.5,20.5,video&audio/allure_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,allure,binder,None,,,,,,,,,,,0,9,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, forage,"['f', 'o', 'r', 'a', 'g', 'e', 'return']","[0.3401181999979599, 0.42007059999741614, 0.6200072999999975, 0.8282392000000982, 1.0120963999979722, 1.1640530999975454, 1.3401897000003373]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,ascend,metric,6.5,7.5,video&audio/eatery_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,eatery,plight,2 = AOMIgen,,,,,,,,,,,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ascend,"['a', 's', 'c', 'e', 'n', 'd', 'return']","[0.41116630000033183, 0.539309100000537, 0.8351760000005015, 1.0191696000001684, 1.2273979999990843, 1.3792222999982187, 1.5314711999999417]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,hippie,hearth,6.5,7.5,video&audio/herbal_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,herbal,deduct,None,,,,,,,,,,,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hoppoe,"['h', 'o', 'p', 'p', 'o', 'e', 'return']","[0.34265050000249175, 0.43062990000180434, 0.6950047999998787, 0.8626096000007237, 1.0546356000013475, 1.1987447999999858, 1.3587413000022934]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,subdue,feudal,19.5,20.5,video&audio/matron_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,matron,legion,None,,,,,,,,,,,0,12,12,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, subdue,"['s', 'u', 'b', 'd', 'u', 'e', 'return']","[0.4627398999982688, 0.550840200001403, 0.7589293999990332, 0.9747723000000406, 1.2947353000017756, 1.4389354000013554, 1.5668111000013596]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,neural,septic,6.5,7.5,video&audio/innate_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,ordain,potent,None,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, neural,"['n', 'e', 'u', 'r', 'a', 'l', 'return']","[0.46971879999910016, 0.7816482999987784, 0.8938985999993747, 1.1895113999999012, 1.405827999999019, 1.6056981999972777, 1.8535849999971106]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,botany,trench,19.5,20.5,video&audio/ethnic_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,ethnic,goblet,None,,,,,,,,,,,0,14,14,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, botany,"['b', 'o', 't', 'a', 'n', 'y', 'return']","[0.3464176999987103, 0.4344182999993791, 0.6101691000003484, 0.850155399999494, 1.0261294999982056, 1.2741898999993282, 1.370184600000357]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,picket,parish,19.5,20.5,video&audio/gullet_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,gullet,manure,None,,,,,,,,,,,0,15,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, picket,"['p', 'i', 'c', 'k', 'e', 't', 'return']","[0.47465229999943404, 0.554733999997552, 0.8194096999977774, 1.0666949999977078, 1.1389868999976898, 1.4032108999999764, 1.4909268999981578]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,kipper,meddle,19.5,20.5,video&audio/divert_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,divert,upkeep,None,,,,,,,,,,,0,16,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, kipper,"['k', 'i', 'p', 'p', 'e', 'r', 'return']","[0.3265768000019307, 0.5262662999994063, 0.7265994000008504, 0.8465671000012662, 1.0301943000013125, 1.2304428000024927, 1.3503406000018003]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,debtor,output,19.5,20.5,video&audio/uphold_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,uphold,pursue,None,,,,,,,,,,,0,17,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, debtor,"['d', 'e', 'b', 't', 'o', 'r', 'return']","[0.33092260000194074, 0.4425851000014518, 0.6427987000024586, 0.8585758000008354, 1.0188674000019091, 1.2105110000011337, 1.3225489000033122]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,cortex,induce,19.5,20.5,video&audio/mussel_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,mussel,satire,None,,,,,,,,,,,0,18,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, cortex,"['c', 'o', 'r', 't', 'e', 'x', 'return']","[0.3238636000023689, 0.435945700002776, 0.7639082000023336, 1.0279547000027378, 1.2199684000006528, 1.5080792000007932, 1.6442514000009396]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,tariff,delude,6.5,7.5,video&audio/galley_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,galley,strife,None,,,,,,,,,,,0,19,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, tariff,"['t', 'a', 'r', 'i', 'f', 'f', 'return']","[0.36799510000128066, 0.46365870000227005, 0.7598142999995616, 0.9117528999995557, 1.1037682000023779, 1.2719268000000739, 1.375810100002127]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,solemn,befall,6.5,7.5,video&audio/ration_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,ration,parole,None,,,,,,,,,,,0,20,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, solemn,"['s', 'o', 'l', 'e', 'm', 'n', 'return']","[0.32121279999773833, 0.4167998999982956, 0.6489411000002292, 0.8095332000011695, 1.1131442000005336, 1.2894526999989466, 1.5208863000007113]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing the same word you will need to type at various speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone typing different words to what you must type at various speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/afford_touch_edited.mp4,video&audio/amount_touch_edited.mp4,matrix,hinder,6.5,7.5,video&audio/breach_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,breach,vanity,1 = AOMIspec,,,,,,,,,,,0,21,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, matrix,"['m', 'a', 't', 'r', 'i', 'x', 'return']","[0.3726948999974411, 0.43635599999834085, 0.6444437999998627, 0.8684124999999767, 1.0042221999974572, 1.2443313999974634, 1.3644127000006847]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,confer,innate,6.5,7.5,video&audio/tamper_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,tamper,sonnet,None,,,,,,,,,,,0,22,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, confer,"['c', 'o', 'n', 'f', 'e', 'r', 'return']","[0.4602078000025358, 0.51632360000076, 0.7242064000020036, 1.084373300000152, 1.2121542999993835, 1.3563589000004868, 1.4686022000023513]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,ritual,clergy,19.5,20.5,video&audio/portal_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,portal,murmur,None,,,,,,,,,,,0,23,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ritua;,"['r', 'i', 'u', 'a', 'semicolon', 'return']","[0.33988809999937075, 0.45977530000163824, 0.867955500001699, 1.019887700000254, 1.2439985000019078, 1.483894799999689]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
