pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,caviar,shrill,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/brazen_touch_edited.mp4,piston,brazen,None,,,,,,,,,,,0,14,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, caviar,"['c', 'a', 'v', 'i', 'a', 'r', 'return']","[0.6622170000009646, 0.8461888999991061, 1.4856556999984605, 1.790845999999874, 1.9817008999998507, 2.125640399997792, 2.557988500000647]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,septic,ordain,19.5,20.5,video&audio/sentence2_TT_3X.mp4,video&audio/potent_touch_edited.mp4,neural,potent,None,,,,,,,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['s'], septic,"['s', 'e', 'p', 't', 'i', 'c', 'return']","[0.3940400999999838, 0.7538381999984267, 1.0342380000001867, 1.5298321999980544, 1.6737605999987863, 1.9460555000005115, 2.770281499997509]",[1.5571909000027517],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,oppose,ghetto,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/jargon_TT_3X.mp4,frugal,jargon,None,,,,,,,,,,,0,16,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, oppose,"['o', 'p', 'p', 'o', 's', 'e', 'return']","[0.5141408000017691, 0.9462359999997716, 1.129934399999911, 1.93105579999974, 2.139163499999995, 2.3782403000004706, 3.226075700000365]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,hinder,breach,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/vanity_TT_3X.mp4,matrix,vanity,1 = AOMIgen,,,,,,,,,,,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hinder,"['h', 'i', 'n', 'd', 'e', 'r', 'return']","[0.8004369000009319, 1.040209999999206, 1.28786079999918, 1.511662000000797, 1.607805700001336, 1.8241663000007975, 2.26390739999988]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,feudal,matron,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/legion_touch_edited.mp4,subdue,legion,None,,,,,,,,,,,0,18,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, feudal,"['f', 'e', 'u', 'd', 'a', 'l', 'return']","[0.9287618000016664, 1.0406767999993463, 1.2654253000000608, 1.5288620999999694, 1.8248142000011285, 2.2247628000004624, 2.7125071000009484]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,meddle,divert,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/upkeep_touch_edited.mp4,kipper,upkeep,None,,,,,,,,,,,0,19,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, meddle,"['m', 'e', 'd', 'd', 'l', 'e', 'return']","[0.7132935000008729, 0.8414063000018359, 1.0174404999997932, 1.201938500002143, 1.4096725000017614, 1.5291119000030449, 2.4340518999997585]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,tandem,origin,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/coerce_touch_edited.mp4,falter,coerce,None,,,,,,,,,,,0,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, tandem,"['t', 'a', 'n', 'd', 'e', 'm', 'return']","[0.8757340999982262, 0.9953380000006291, 1.2915056999991066, 1.4435421000016504, 1.5077535999989777, 1.7478764000006777, 2.41932000000088]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,cobble,export,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/savant_touch_edited.mp4,cervix,savant,None,,,,,,,,,,,0,21,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, cobble,"['c', 'o', 'b', 'b', 'l', 'e', 'return']","[0.8343959000012546, 0.9620954000019992, 1.2821025000012014, 2.730600200000481, 2.9943287999994936, 3.1140675000024203, 3.290991699999722]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,campus,allure,6.5,7.5,video&audio/Sentence6_touch_edited.mp4,video&audio/binder_TT_3X.mp4,forage,binder,None,,,,,,,,,,,0,22,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, campus,"['c', 'a', 'm', 'p', 'u', 's', 'return']","[0.42704890000095475, 0.5389643000016804, 0.6753171000018483, 1.0588692000019364, 1.4350913999987824, 1.6429434000019683, 2.2997701999993296]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,trench,ethnic,6.5,7.5,video&audio/Sentence4_touch_edited.mp4,video&audio/goblet_TT_3X.mp4,botany,goblet,None,,,,,,,,,,,0,23,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, trench,"['t', 'r', 'e', 'n', 'c', 'h', 'return']","[0.48238629999832483, 0.8264758000004804, 0.9622237000003224, 1.6264413999997487, 1.7782937999982096, 1.9462265000001935, 2.5223721000002115]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,output,uphold,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/pursue_touch_edited.mp4,debtor,pursue,None,,,,,,,,,,,0,24,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, output,"['o', 'u', 't', 'p', 'p', 'u', 't', 'backspace', 'backspace', 'backspace', 'u', 't', 'return']","[0.6313585999996576, 0.911849499996606, 1.2081621999968775, 1.5913981999983662, 1.6880575999966823, 2.063615499999287, 2.4800640999965253, 3.27210070000001, 3.400007899999764, 3.5278082999975595, 4.27189670000007, 4.391638799999782, 4.799933599999349]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,induce,mussel,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/satire_touch_edited.mp4,cortex,satire,None,,,,,,,,,,,0,25,25,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, induce,"['i', 'n', 'd', 'u', 'c', 'e', 'return']","[0.8663764000011724, 1.090491099999781, 1.314568199999485, 1.5141561000018555, 1.7941823000001023, 1.9141335000022082, 2.2986764000015683]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,hamlet,shroud,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/sherry_TT_3X.mp4,jackal,sherry,None,,,,,,,,,,,0,26,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hamlet,"['h', 'a', 'm', 'l', 'e', 't', 'return']","[0.4624954999999318, 0.606344399999216, 1.150460299999395, 1.3666231999995944, 1.4868828999969992, 1.7028218999985256, 2.1904603999973915]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,hearth,herbal,19.5,20.5,video&audio/sentence3_TT_3X.mp4,video&audio/deduct_touch_edited.mp4,hippie,deduct,None,,,,,,,,,,,0,27,27,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hearth,"['h', 'e', 'a', 'r', 't', 'h', 'return']","[0.763837099999364, 0.9230731000025116, 1.147377699999197, 1.3238649000013538, 1.5068514000013238, 1.8669773000001442, 2.4432957000026363]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,girdle,linear,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/impose_touch_edited.mp4,belfry,impose,None,,,,,,,,,,,0,28,28,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, girdle,"['g', 'i', 'r', 'd', 'l', 'e', 'return']","[0.8531743000021379, 1.4133123999999953, 1.5411370000001625, 1.8375691000001098, 1.9894676000003528, 2.1017867000009574, 2.5495665999987978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,befall,ration,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/parole_TT_3X.mp4,solemn,parole,None,,,,,,,,,,,0,29,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, befall,"['b', 'e', 'f', 'a', 'l', 'l']","[0.6095561000001908, 0.7450637999972969, 1.2969116999993275, 1.393056400000205, 1.8736176999991585, 2.001094600000215]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4'],[23.593792600000597],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4'],[12.892953800001123],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,fungal,mucous,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/musket_touch_edited.mp4,subtle,musket,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"['b', 'u', 't', 't', 'e', 'r', 'return']","[1.2387118000006012, 1.4218911999996635, 1.8216680000004999, 1.9341120999997656, 2.101969300001656, 2.2619376000002376, 3.0379768000020704]",None, subtle,"['s', 'u', 'b', 't', 'l', 'e', 'return']","[1.0537507999979425, 1.1973106999976153, 1.3739189999978407, 2.092918700000155, 2.2616479999996955, 2.4131689999994705, 2.861501600000338]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,feudal,matron,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/legion_touch_edited.mp4,subdue,legion,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, subdue,"['s', 'u', 'b', 'd', 'e', 'backspace', 'u', 'e', 'return']","[1.1062354000023333, 1.3462379000011424, 1.5372130000032485, 2.105269900002895, 2.1612542000002577, 2.8659189000027254, 3.2573507000015525, 3.3852639000033378, 4.057477199999994]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,septic,ordain,19.5,20.5,video&audio/sentence2_TT_3X.mp4,video&audio/potent_touch_edited.mp4,neural,potent,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,"['e', 'n', 'n']", neural,"['n', 'e', 'u', 'r', 'a', 'l', 'return']","[1.8232170000010228, 1.9192030000012892, 2.1031537000017124, 2.200161200002185, 2.7191598000026715, 2.8871771000012814, 4.543441100002383]","[8.776162800000748, 12.776249300000927, 18.912051000002975]",,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,output,uphold,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/pursue_touch_edited.mp4,debtor,pursue,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, debtor,"['d', 'e', 'b', 't', 'o', 'r', 'return']","[1.0448136999984854, 1.1485867999981565, 1.4440533999986656, 1.739972299998044, 1.956282299997838, 2.0683349999999336, 2.4292038999992656]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,caviar,shrill,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/brazen_touch_edited.mp4,piston,brazen,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, piston,"['p', 'i', 's', 't', 'o', 'n', 'return']","[1.137687200000073, 1.6412579999996524, 1.7701828999997815, 1.977878800000326, 2.3138801000022795, 2.5779189999993832, 3.241263300002174]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,befall,ration,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/parole_TT_3X.mp4,solemn,parole,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, solemn,"['s', 'o', 'l', 'e', 'm', 'n', 'return']","[0.9245229999978619, 1.1164296999995713, 1.2942803999976604, 1.4685037999988708, 1.7409606999972311, 3.965575299996999, 4.2691673999979685]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,hamlet,shroud,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/sherry_TT_3X.mp4,jackal,sherry,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, jackal,"['j', 'a', 'c', 'k', 'a', 'l', 'return']","[1.8811973999982001, 1.9848409000005631, 2.4568749999998545, 2.6812256000011985, 2.832799399999203, 3.177179400001478, 3.9049506000010297]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,tandem,origin,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/coerce_touch_edited.mp4,falter,coerce,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, falter,"['f', 'a', 'l', 't', 'e', 'r', 'return']","[0.9749430999981996, 1.0870508000007248, 1.614500700001372, 1.9266258999996353, 2.0547417999987374, 2.1345283999980893, 2.8949668999994174]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,primal,entail,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/novice_TT_3X.mp4,parcel,novice,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, parcel,"['p', 'a', 'r', 'c', 'e', 'l', 'return']","[0.9520340999988548, 1.0569733999982418, 1.3363007999978436, 1.583973500000866, 1.7202256999989913, 1.9685590000008233, 2.4406115999991016]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,girdle,linear,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/impose_touch_edited.mp4,belfry,impose,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, belfry,"['b', 'e', 'l', 'f', 'r', 'y', 'return']","[0.9938468000000285, 1.12946920000104, 1.4738980000001902, 1.881843499999377, 1.977418000002217, 2.2093678999990516, 2.9539284000020416]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,patent,defame,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/quarry_TT_3X.mp4,covert,quarry,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, covert,"['c', 'o', 'v', 'e', 'r', 't', 'return']","[1.3054521000012755, 1.409170200000517, 1.552915899999789, 1.9372290999999677, 2.193527499999618, 2.4094087000012223, 3.0647043000026315]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,innate,tamper,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/sonnet_TT_3X.mp4,confer,sonnet,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, confer,"['c', 'p', 'backspace', 'o', 'n', 'f', 'e', 'r', 'return']","[1.0691002999992634, 1.3324185999990732, 2.308799700000236, 2.956806800000777, 3.188314499999251, 3.492349699998158, 3.588687100000243, 3.7084665000002133, 4.292430000001332]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,hinder,breach,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/vanity_TT_3X.mp4,matrix,vanity,1 = AOMIgen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, matrix,"['m', 'a', 't', 'r', 'i', 'x', 'return']","[1.0696889999999257, 1.1655353000023752, 1.5575080000016897, 1.9103982000015094, 2.069683100002294, 2.405700400002388, 2.933308499999839]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,meddle,divert,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/upkeep_touch_edited.mp4,kipper,upkeep,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, kipper,"['k', 'i', 'p', 'p', 'e', 'r', 'return']","[0.8396439999996801, 1.0235068000001775, 1.3366734000010183, 1.4718859000022348, 1.6237140000012005, 1.775692400002299, 2.3355227000029117]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,campus,allure,6.5,7.5,video&audio/Sentence6_touch_edited.mp4,video&audio/binder_TT_3X.mp4,forage,binder,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, forage,"['f', 'o', 'r', 'a', 'g', 'e', 'return']","[0.4554247000014584, 0.7593640999984927, 0.8869282000014209, 1.191174299998238, 1.359567600000446, 1.4391673999998602, 1.9749207999993814]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,mangle,warble,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/fodder_touch_edited.mp4,devise,fodder,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, devise,"['d', 'e', 'v', 'i', 's', 'e', 'return']","[0.7336152999996557, 0.806048099999316, 1.149973300001875, 1.5262013999999908, 1.686036499999318, 1.9026269999994838, 2.606355399999302]",,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
