pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,patent,defame,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/quarry_TT_3X.mp4,covert,quarry,None,,,,,,,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, patent,"['p', 'a', 't', 'e', 'n', 't', 'return']","[0.9463042999996105, 1.0668202999986534, 1.810331299999234, 1.9224780000004102, 2.2102935000002617, 2.5075983999995515, 2.970512299998518]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,metric,eatery,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/plight_TT_3X.mp4,ascend,plight,2 = AOMIspec,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, metric,"['m', 'e', 't', 'r', 'i', 'c', 'return']","[0.6086628000011842, 0.7692024000025413, 1.0326799000031315, 1.192276400000992, 1.6409264000030817, 1.8081989000020258, 2.1602254000026733]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,clergy,portal,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/murmur_touch_edited.mp4,ritual,murmur,None,,,,,,,,,,,0,6,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, clergy,"['c', 'l', 'e', 'r', 'g', 'y', 'return']","[0.7491341999993892, 0.8934337999999116, 1.357428200000868, 1.6612691000009363, 2.2290409000015643, 2.4290913000004366, 3.4054065000018454]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,jailer,nettle,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/convoy_touch_edited.mp4,plasma,convoy,None,,,,,,,,,,,0,7,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, jailer,"['j', 'a', 'i', 'l', 'e', 'r', 'return']","[0.5149703999995836, 0.6670398000023852, 1.2588458999998693, 1.4831517999991775, 1.8832435000003898, 2.010630400000082, 2.7312301999991178]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,zephyr,fusion,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/critic_TT_3X.mp4,obsess,critic,None,,,,,,,,,,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, zephyr,"['z', 'e', 'p', 'h', 'y', 'r', 'return']","[0.8765720000010333, 1.2685079000002588, 1.4203675999997358, 2.668223200002103, 3.4683698000008008, 3.6288769000020693, 4.6608436000024085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,innate,tamper,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/sonnet_TT_3X.mp4,confer,sonnet,None,,,,,,,,,,,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, innate,"['i', 'n', 'n', 'a', 't', 'e', 'return']","[0.4961086000002979, 0.8724876000014774, 0.9920775999999023, 1.1045324000006076, 1.376250200002687, 1.4961670000011509, 2.3363581000012346]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,fungal,mucous,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/musket_touch_edited.mp4,subtle,musket,None,,,,,,,,,,,0,10,10,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, fungal,"['f', 'u', 'n', 'g', 'a', 'l', 'return']","[0.7278184999995574, 0.8472541999981331, 1.6471893999987515, 1.9031474999974307, 2.0397344999983034, 2.302900499998941, 2.65538369999922]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,shrewd,revoke,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/mirage_TT_3X.mp4,malady,mirage,None,,,,,,,,,,,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, shrewd,"['s', 'h', 'r', 'e', 'w', 'd', 'return']","[0.9595731000008527, 1.1033027000012225, 1.7195443000018713, 1.975430900001811, 2.5845049000017752, 2.832209200001671, 3.463762499999575]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,parish,gullet,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/manure_touch_edited.mp4,picket,manure,None,,,,,,,,,,,0,12,12,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, parish,"['p', 'a', 'r', 'i', 's', 'h', 'return']","[0.7412604000019201, 0.8532685000027413, 1.2214112000001478, 1.4857861000018602, 1.830501100001129, 2.0455313000020396, 3.109886500002176]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,delude,galley,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/strife_TT_3X.mp4,tariff,strife,None,,,,,,,,,,,0,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, delude,"['d', 'e', 'l', 'u', 'd', 'e', 'return']","[0.5849785000027623, 0.7618911000026856, 1.0330501000025833, 1.3452971000006073, 1.5546699000005901, 1.5858416000010038, 2.840960100002121]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
