pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,baseBkgdKeys.rt,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,strife,delude,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/galley_touch_edited.mp4,tariff,galley,None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, strife,"['s', 't', 'r', 'i', 'f', 'e', 'return']","[0.5014184000901878, 0.6774657999631017, 1.5014575000386685, 1.6221847999840975, 1.8139456999488175, 1.925735600059852, 2.1178107000887394]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,jargon,oppose,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/ghetto_touch_edited.mp4,frugal,ghetto,None,,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, jargon,"['j', 'a', 'r', 'g', 'o', 'n', 'return']","[0.5842353999614716, 0.7047955000307411, 0.9118546999525279, 1.1843250999227166, 1.2880358998663723, 1.5842189998365939, 1.84041089983657]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,convoy,output,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/uphold_TT_3X.mp4,debtor,uphold,None,,,,,,,,,,,0,9,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, convoy,"['c', 'o', 'n', 'v', 'o', 'y', 'return']","[0.6246119998395443, 0.7207493998575956, 0.8479710000101477, 1.0562681998126209, 1.1839326999615878, 1.4800391998142004, 1.727918699849397]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,ordain,patent,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/defame_touch_edited.mp4,covert,defame,None,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, ordain,"['o', 'r', 'd', 'a', 'i', 'n', 'return']","[0.48384739994071424, 0.6119321999140084, 0.8203374000731856, 1.0360125000588596, 1.1560009999666363, 1.236168700037524, 1.627778199966997]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,murmur,cobble,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/export_TT_3X.mp4,cervix,export,None,,,,,,,,,,,0,11,11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, murmur,"['m', 'u', 'r', 'm', 'u', 'r', 'return']","[0.4377423000987619, 0.6458268000278622, 1.678273000055924, 1.8225650999229401, 2.005600499920547, 2.1592810000292957, 3.038296200102195]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,novice,primal,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/entail_touch_edited.mp4,parcel,entail,None,,,,,,,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, novice,"['n', 'o', 'v', 'i', 'c', 'e', 'return']","[0.37916440004482865, 0.4751146000344306, 0.651500100037083, 0.8354397001676261, 1.0595384000334889, 1.2270339000970125, 1.5393284000456333]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,fodder,trench,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/ethnic_TT_3X.mp4,botany,ethnic,None,,,,,,,,,,,0,13,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, fodder,"['f', 'o', 'd', 'd', 'e', 'r', 'return']","[0.4988655000925064, 0.6908607999794185, 0.8030840000137687, 0.9468179000541568, 1.1143948999233544, 1.1867941000964493, 1.4349247999489307]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,upkeep,parish,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/gullet_TT_3X.mp4,picket,gullet,None,,,,,,,,,,,0,14,14,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, upkeep,"['u', 'p', 'k', 'e', 'e', 'p', 'return']","[0.35124609991908073, 0.49456109991297126, 0.9103119999635965, 1.0704562000464648, 1.2221111000981182, 1.3186103000771254, 1.6625526999123394]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,satire,mangle,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/warble_TT_3X.mp4,devise,warble,None,,,,,,,,,,,0,15,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, satire,"['s', 'a', 't', 'i', 'r', 'e', 'return']","[0.47553239995613694, 0.5794013999402523, 0.8674673999194056, 0.9636423999909312, 1.1246911999769509, 1.2359617999754846, 1.4993497999385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,revolt,joiner,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/apathy_touch_edited.mp4,virile,apathy,None,,,,,,,,,,,0,16,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, revolt,"['r', 'e', 'c', 'o', 'l', 't', 'backspace', 'backspace', 'backspace', 'backspace', 'v', 'o', 'l', 't', 'return']","[0.421527799917385, 0.5016757999546826, 0.7497407000046223, 0.8541546000633389, 1.0698565999045968, 1.18993049999699, 1.8299241000786424, 2.006024400005117, 2.142033499898389, 2.309932099888101, 2.90185540006496, 3.0775748998858035, 3.269842700101435, 3.5418513999320567, 3.6616024000104517]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
