pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI_promptBkgdKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,apathy,virile,19.5,20.5,video&audio/revolt_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,revolt,joiner,None,,,,,,,,,,,0,17,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, apathy,"['a', 'p', 'a', 't', 'h', 'y', 'return']","[0.8088269000290893, 1.072551699995529, 1.1769790000398643, 1.4970235000364482, 1.6970119000179693, 1.888582400046289, 2.552862200012896]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,mystic,pulpit,19.5,20.5,video&audio/infirm_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,infirm,oblige,None,,,,,,,,,,,0,18,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mystic,"['m', 'y', 's', 't', 'i', 'c', 'return']","[0.7094291999819688, 1.0055211000144482, 1.181492800009437, 1.325391300022602, 1.7095500999712385, 1.909453800006304, 2.3815777999698184]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,shroud,jackal,19.5,20.5,video&audio/parole_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,parole,hamlet,None,,,,,,,,,,,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, shroud,"['s', 'h', 'r', 'o', 'u', 'd', 'return']","[0.7123115999856964, 0.8247644999646582, 1.256736799958162, 1.4645201999810524, 1.7368739999947138, 1.9363755999947898, 2.4884546999819577]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,nettle,plasma,6.5,7.5,video&audio/deduct_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,deduct,jailer,None,,,,,,,,,,,0,20,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, nettle,"['n', 'e', 't', 't', 'l', 'e', 'return']","[0.3389587000128813, 0.6829240000224672, 0.9070939000230283, 1.0350090999854729, 1.4588831000146456, 1.6268548999796622, 1.9789400000008754]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,ethnic,botany,6.5,7.5,video&audio/fodder_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,fodder,trench,None,,,,,,,,,,,0,21,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ethnic,"['e', 't', 'n', 'i', 'c', 'return']","[0.4253418000298552, 0.6816249000257812, 1.2817358000320382, 1.4734392000245862, 1.8254436000133865, 2.3133955000084825]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,defame,covert,19.5,20.5,video&audio/binder_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,binder,patent,None,,,,,,,,,,,0,22,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, defame,"['d', 'e', 'f', 'a', 'm', 'e', 'return']","[0.595667699992191, 0.8115452000056393, 1.1235771999927238, 1.4442833999637514, 1.7075767999631353, 1.9636400999734178, 2.227957699971739]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,ration,solemn,19.5,20.5,video&audio/goblet_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,goblet,befall,None,,,,,,,,,,,0,23,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ration,"['r', 'a', 't', 'i', 'o', 'n', 'return']","[0.8771896999678575, 1.0135047999792732, 1.117248099995777, 1.4933741000131704, 1.6372531999950297, 1.773304799979087, 2.0775599000044167]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,uphold,debtor,6.5,7.5,video&audio/convoy_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,convoy,output,None,,,,,,,,,,,0,24,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, uphold,"['u', 'p', 'h', 'o', 'l', 'd', 'return']","[0.6578931999974884, 1.1295106000034139, 1.4578043000074103, 1.6816547000198625, 1.8497174000367522, 2.0255735000246204, 2.3300391000229865]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,shrill,piston,6.5,7.5,video&audio/pursue_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,pursue,caviar,None,,,,,,,,,,,0,25,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, shrill,"['s', 'h', 'r', 'i', 'l', 'l', 'return']","[0.41050860000541434, 0.7227332000038587, 0.914889800013043, 1.1304946999880485, 1.3312288000015542, 1.442518999974709, 1.6904770999681205]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,origin,falter,6.5,7.5,video&audio/potent_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,potent,tandem,None,,,,,,,,,,,0,26,26,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, orifin,"['o', 'r', 'i', 'f', 'i', 'n', 'return']","[1.0536240999936126, 1.413666300009936, 1.6530455999891274, 1.8455405000131577, 2.101564700016752, 2.317099599982612, 3.5251197000034153]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,eatery,ascend,19.5,20.5,video&audio/plight_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,plight,metric,2 = AOMIgen,,,,,,,,,,,0,27,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, eatery,"['e', 'a', 't', 'e', 'r', 'y', 'return']","[0.919608399970457, 1.2482930999831297, 1.5598518999759108, 1.8155828999588266, 2.040279799955897, 2.2316075999988243, 3.3040956999757327]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,ghetto,frugal,19.5,20.5,video&audio/jargon_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,jargon,oppose,None,,,,,,,,,,,0,28,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ghetto,"['g', 'h', 'e', 't', 't', 'o', 'return']","[0.7735538000124507, 0.92651040002238, 1.181833699985873, 1.4065228999825194, 1.5097719000186771, 1.8857710000011139, 2.59765900002094]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,allure,forage,6.5,7.5,video&audio/legion_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,legion,campus,None,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, allure,"['a', 'l', 'l', 'u', 'r', 'e', 'return']","[1.7917484000208788, 2.263878299971111, 2.3921577999717556, 2.6161871000076644, 2.8723810000228696, 3.0397710999823175, 3.3041967999888584]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4'],[20.085368899977766],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['3'],[13.573060299968347],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,shroud,jackal,19.5,20.5,video&audio/parole_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,parole,hamlet,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"['b', 'u', 'u', 'backspace', 't', 't', 'e', 'r', 'return']","[0.7785649000434205, 1.0822143999976106, 1.226618700020481, 2.2182323000160977, 2.802234100003261, 2.914717100036796, 3.0342816000338644, 3.2102141000214033, 3.8107446000212803]",None, parole,"['p', 'a', 'r', 'o', 'l', 'e', 'return']","[0.430637699959334, 0.726955599966459, 1.1986843000049703, 1.3986976000014693, 1.5910017999703996, 1.7588531999499537, 2.414507799956482]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,mucous,subtle,6.5,7.5,video&audio/brazen_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,brazen,fungal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, brazen,"['b', 'r', 'a', 'z', 'e', 'n', 'return']","[0.6044249000260606, 0.900474900030531, 1.2844615000067279, 1.5723747000447474, 1.8285396000137553, 2.0527985999942757, 2.653255100012757]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,mystic,pulpit,19.5,20.5,video&audio/infirm_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,infirm,oblige,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, infirm,"['i', 'n', 'f', 'i', 'r', 'm']","[0.6724129000212997, 1.06440069997916, 1.3044596000108868, 1.4725056000170298, 1.6724349000141956, 1.8248395000118762]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,gullet,picket,6.5,7.5,video&audio/upkeep_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,upkeep,parish,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, upkeep,"['u', 'p', 'k', 'e', 'e', 'p', 'return']","[0.43024630000581965, 1.1028558000107296, 1.3902350999996997, 1.5661531999940053, 1.9105543000041507, 2.142491600010544, 2.470322099979967]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,linear,belfry,6.5,7.5,video&audio/manure_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,manure,girdle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, manure,"['comma', 'a', 'n', 'u', 'r', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'm', 'a', 'n', 'u', 'r', 'e', 'return']","[0.44718790001934394, 0.7830967000336386, 0.9912289000349119, 1.2310239000362344, 1.5830415000091307, 2.831164599978365, 3.007654300017748, 3.183256899996195, 3.3432693000067957, 3.5029853000305593, 4.207086200010963, 4.487623299995903, 4.687096200010274, 4.927441700012423, 5.230895499989856, 5.342918500013184, 5.991124199994374]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,portal,ritual,6.5,7.5,video&audio/coerce_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,coerce,clergy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, coerce,"['c', 'o', 'e', 'r', 'c', 'e', 'return']","[0.5353210999746807, 0.919186000013724, 2.01539249997586, 2.271178799972404, 2.5592338999849744, 2.7833754000021145, 3.503301399992779]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,shrill,piston,6.5,7.5,video&audio/pursue_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,pursue,caviar,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['p'],,,None, pursue,"['p', 'u', 'r', 's', 'u', 'e', 'return']","[0.4074218000168912, 0.9514543999684975, 1.2396073999698274, 1.5432948999805376, 1.7433144999668002, 1.9117848000023514, 2.551536599989049]",[0.43533589999424294],,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,ration,solemn,19.5,20.5,video&audio/goblet_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,goblet,befall,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, goblet,"['g', 'o', 'b', 'l', 'e', 't', 'return']","[0.992250100011006, 1.328309000004083, 1.576420400000643, 1.7763726999983191, 2.0242617000476457, 2.37620280002011, 3.104280400031712]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,defame,covert,19.5,20.5,video&audio/binder_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,binder,patent,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['b'],,,None, binder,"['b', 'i', 'n', 'd', 'e', 'r', 'return']","[0.4568876000121236, 1.0569408999872394, 1.2969404999748804, 1.5850619999691844, 1.8094112999970093, 2.0248662999947555, 2.321242499980144]",[0.6903234999626875],,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,ghetto,frugal,19.5,20.5,video&audio/jargon_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,jargon,oppose,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['j', 'a']",,,None, jargon,"['j', 'a', 'r', 'g', 'o', 'n', 'return']","[0.4127248000004329, 0.6938732999842614, 1.364803700009361, 1.6287276999792084, 1.828961299965158, 2.0691115999943577, 2.6769525000127032]","[0.07597409997833893, 0.34000149997882545]",,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,matron,subdue,6.5,7.5,video&audio/impose_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,impose,feudal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, impose,"['i', 'm', 'p', 'o', 's', 'e', 'return']","[0.7566324999788776, 1.1959228999912739, 1.4998896999750286, 1.7164100999943912, 1.9243599000037648, 2.139935899991542, 2.8200314000132494]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,herbal,hippie,19.5,20.5,video&audio/sonnet_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,sonnet,hearth,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, sonnet,"['s', 'o', 'n', 'n', 'e', 't', 'return']","[0.5093684000312351, 1.4053502000169829, 1.9734625000273809, 2.10174630000256, 2.261463000031654, 2.981385799997952, 3.581996400025673]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,revoke,malady,19.5,20.5,video&audio/mirage_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,mirage,shrewd,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mirage,"['m', 'i', 'r', 'a', 'g', 'e', 'return']","[0.8804752000141889, 1.2570383000420406, 1.60072400001809, 1.728447400033474, 1.912409100041259, 2.040388800029177, 2.6726244000019506]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,apathy,virile,19.5,20.5,video&audio/revolt_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,revolt,joiner,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, revolt,"['r', 'e', 'v', 'o', 'l', 't', 'return']","[0.5309007000178099, 0.9068876000237651, 1.2107039000256918, 1.379197700007353, 1.5788352999952622, 1.7708626000094227, 2.21911760000512]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,tamper,confer,19.5,20.5,video&audio/critic_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,critic,innate,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, critic,"['c', 'r', 'i', 't', 'i', 'c', 'return']","[0.6859008999890648, 1.1018809999804944, 1.3741865999763831, 1.4934957000077702, 1.6377407999825664, 1.8694021999835968, 2.309630299976561]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,origin,falter,6.5,7.5,video&audio/potent_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,potent,tandem,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, potent,"['p', 'o', 't', 'e', 'n', 't', 'return']","[0.7934880999964662, 1.001300000003539, 1.32156730000861, 1.5533213000162505, 2.025062600034289, 2.2814388999831863, 2.7051180999842472]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,uphold,debtor,6.5,7.5,video&audio/convoy_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,convoy,output,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, convoy,"['c', 'o', 'n', 'v', 'o', 'y', 'return']","[0.474464800034184, 0.8424392000306398, 1.114446300023701, 1.4823872999986634, 1.6824545999988914, 1.9464141000062227, 2.154760300007183]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,export,cervix,6.5,7.5,video&audio/murmur_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,murmur,cobble,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, murmur,"['m', 'u', 'r', 'm', 'u', 'r', 'return']","[0.5330706000095233, 0.9089103000005707, 1.1409515000414103, 1.2848176000406966, 1.5410548000363633, 1.7648739000433125, 2.133100600040052]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,fusion,obsess,19.5,20.5,video&audio/sherry_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,sherry,zephyr,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, sherry,"['s', 'h', 'e', 'r', 'r', 'y', 'return']","[0.3986779999686405, 0.7347817999543622, 1.0790056999539956, 1.3349460999597795, 1.4709255999769084, 1.5828761999728158, 2.11159059999045]",,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
