pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,hamlet,shroud,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/sherry_TT_3X.mp4,jackal,sherry,None,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hamlet,"['h', 'a', 'm', 'l', 'e', 't']","[0.5404213999863714, 0.700627600075677, 0.8362582999980077, 1.0522172000491992, 1.2122178000863642, 1.3882581000216305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,parish,gullet,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/manure_touch_edited.mp4,picket,manure,None,,,,,,,,,,,0,8,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['p', 'a', 'r']",parish,"['i', 's', 'h', 'backspace', 'backspace', 'backspace', 'backspace', 'p', 'a', 'r', 'i', 's', 'h', 'return']","[0.02976100007072091, 0.18909920006990433, 0.3251506000524387, 1.1253229000139982, 1.221140700043179, 1.3813366000540555, 1.5413037000689656, 2.053191200015135, 2.1811426000203937, 2.3971331000793725, 2.541349600069225, 2.6775437000906095, 2.8294009000528604, 3.2532906000269577]","[2.558061799965799, 2.678173699998297, 2.9181200000457466]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,caviar,shrill,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/brazen_touch_edited.mp4,piston,brazen,None,,,,,,,,,,,0,9,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, caviar,"['a', 'v', 'i', 'a', 'r', 'return']","[0.1211843000492081, 0.249163500033319, 0.8490730000194162, 1.5049755000509322, 1.9052368000848219, 2.209228300023824]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,oppose,ghetto,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/jargon_TT_3X.mp4,frugal,jargon,None,,,,,,,,,,,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, oppose,"['o', 'p', 'p', 'o', 's', 'e', 'return']","[0.4572825999930501, 0.7850731000071391, 0.9211351000703871, 1.1051450000377372, 1.2490570000372827, 1.3772273000795394, 1.6892817000625655]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,trench,ethnic,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/goblet_TT_3X.mp4,botany,goblet,None,,,,,,,,,,,0,11,11,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, trench,"['t', 'r', 'e', 'n', 'c', 'h', 'return']","[0.5157684000441805, 0.7798765000188723, 1.0037165000103414, 1.2038012000266463, 1.379851800040342, 1.5478473999537528, 2.1000915999757126]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,tandem,origin,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/coerce_touch_edited.mp4,falter,coerce,None,,,,,,,,,,,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, tandem,"['t', 'a', 'n', 'd', 'e', 'm', 'return']","[0.905904300045222, 1.177889100043103, 1.3379122000187635, 1.513911300105974, 1.866125800064765, 2.0259392000734806, 2.833794700098224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,shrewd,revoke,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/mirage_TT_3X.mp4,malady,mirage,None,,,,,,,,,,,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['s'], shrewd,"['s', 'h', 'r', 'e', 'w', 'd', 'return']","[1.0914025000529364, 1.227570699993521, 1.403365800040774, 1.5552304000593722, 1.9155079000629485, 2.139239100040868, 2.6753444999922067]",[2.8861714999657124],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,cobble,export,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/savant_touch_edited.mp4,cervix,savant,None,,,,,,,,,,,0,14,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['c'], cobble,"['c', 'o', 'b', 'b', 'l', 'r', 'backspace', 'e', 'return']","[0.6170993000268936, 0.8334350999211892, 1.0491314999526367, 1.7531297999667004, 1.9053923999890685, 2.1291999999666587, 2.7532355999574065, 2.9291565000312403, 3.129128500004299]",[2.725318699958734],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,innate,tamper,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/sonnet_TT_3X.mp4,confer,sonnet,None,,,,,,,,,,,0,15,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, innate,"['i', 'n', 'n', 'a', 't', 'e', 'return']","[0.4412120000924915, 0.697221799986437, 0.8332608999917284, 0.9455483000492677, 1.1373575000325218, 1.2972936000442132, 1.6572536000749096]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,meddle,divert,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/upkeep_touch_edited.mp4,kipper,upkeep,None,,,,,,,,,,,0,16,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, meddle,"['m', 'e', 'd', 'd', 'l', 'e', 'return']","[0.4296487000538036, 0.5973922000266612, 0.8295051000313833, 1.0133321000030264, 1.157305800006725, 1.2697107000276446, 1.5573761000996456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
