pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,tariff,galley,19.5,20.5,video&audio/delude_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,delude,strife,None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['t'], tariff,"['t', 'a', 'r', 'i', 'd', 'backspace', 'f', 'f', 'return']","[1.1994706999976188, 1.5916164999362081, 2.5359967998228967, 2.8154825000092387, 3.3676518998108804, 4.160508099943399, 4.375726099824533, 4.615571299800649, 5.0798492999747396]",[2.6423790000844747],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,piston,shrill,6.5,7.5,video&audio/caviar_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,caviar,pursue,None,,,,,,,,,,,0,8,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, piston,"['p', 'i', 's', 't', 'o', 'n', 'return']","[1.1438840001355857, 1.5113016001414508, 2.0949896001257002, 2.231172300176695, 2.831638100091368, 3.150996500160545, 3.7827924001030624]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,frugal,ghetto,19.5,20.5,video&audio/oppose_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,oppose,jargon,None,,,,,,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, frugal,"['f', 'r', 'u', 'g', 'a', 'l', 'return']","[0.505414699902758, 0.8889377999585122, 1.601495400071144, 2.345463499892503, 3.0650231998879462, 3.329159799963236, 4.1613362999632955]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,subtle,mucous,6.5,7.5,video&audio/fungal_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,fungal,brazen,None,,,,,,,,,,,0,10,10,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['s'], subtle,"['s', 'u', 'b', 't', 'l', 'e', '4', 'backspace', 'return']","[0.4118153997696936, 0.8357736999168992, 1.1876637998502702, 1.531523099867627, 2.3567275998648256, 2.74786869995296, 2.7723097999114543, 3.476001399802044, 3.7234102999791503]",[2.55577059998177],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,confer,tamper,19.5,20.5,video&audio/innate_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,innate,critic,None,,,,,,,,,,,0,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, confer,"['c', 'o', 'n', 'f', 'e', 'r', 'return']","[1.7910870001651347, 2.51889570010826, 2.846947700018063, 3.1188171000685543, 3.598750500008464, 3.8876626000273973, 4.295670400140807]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,belfry,linear,6.5,7.5,video&audio/girdle_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,girdle,manure,None,,,,,,,,,,,0,12,12,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, belfry,"['b', 'e', 'l', 'f', 'r', 'y', 'return']","[1.0781096999999136, 1.3985270000994205, 1.7501121000386775, 2.5575433999765664, 3.101768800057471, 3.485578400082886, 4.422312699956819]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,solemn,ration,19.5,20.5,video&audio/befall_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,befall,goblet,None,,,,,,,,,,,0,13,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, solemn,"['s', 'o', 'l', 'e', 'm', 'n', 'return']","[0.36617699987255037, 1.0141763999126852, 1.230350499972701, 1.5348228998482227, 1.686274099862203, 2.222277699969709, 2.6301330998539925]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,cortex,mussel,6.5,7.5,video&audio/induce_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,induce,savant,None,,,,,,,,,,,0,14,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, cortex,"['c', 'o', 'r', 't', 'e', 'x', 'return']","[1.6060781001579016, 1.9586851000785828, 2.326397200115025, 2.8620869000442326, 3.0301818000152707, 4.150673600146547, 5.086347999982536]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,botany,ethnic,6.5,7.5,video&audio/trench_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,trench,fodder,None,,,,,,,,,,,0,15,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, botany,"['b', 'o', 't', 'a', 'n', 'y', 'return']","[0.4502083999104798, 0.8263332999777049, 1.250513499835506, 1.914967899909243, 2.1702940999530256, 2.4741355997975916, 2.9628280999604613]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,ritual,portal,6.5,7.5,video&audio/clergy_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,clergy,coerce,None,,,,,,,,,,,0,16,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ritual,"['r', 'i', 't', 'u', 'a', 'l', 'return']","[0.3989150000270456, 0.518358499975875, 0.9743270000908524, 1.2148130999412388, 1.518873899942264, 2.294242599979043, 2.7024646000936627]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
