pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contBkgdKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI_promptBkgdKeys.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,sonnet,hearth,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/herbal_touch_edited.mp4,hippie,herbal,None,,,,,,,,,,,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, sonnet,"['s', 'o', 'o', 'backspace', 'n', 'n', 'e', 't', 'return']","[0.374167199999647, 0.5180241999987629, 0.6216701000012108, 1.261920500000997, 1.6300492999980634, 1.797887599997921, 1.966373700000986, 2.2537684999988414, 2.789716999999655]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,critic,binder,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/tamper_touch_edited.mp4,confer,tamper,None,,,,,,,,,,,0,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, critic,"['v', 'r', 'i', 'i', 'backspace', 'backspace', 'backspace', 'backspace', 'v', 'r', 'backspace', 'c', 'r', 'backspace', 'backspace', 'backspace', 'c', 'r', 't', 'i', 'backspace', 'backspace', 'i', 't', 'i', 'c', 'pound', 'backspace', 'return']","[0.4715260000011767, 0.6553877000005741, 0.8078242000010505, 0.9835999000024458, 1.3522874000009324, 1.4795981000024767, 1.6238551999995252, 1.9195700000018405, 2.0560543999999936, 2.2477122000018426, 2.7756052000004274, 2.943297600002552, 3.1679074999992736, 4.08740360000229, 4.231386800001928, 4.375912499999686, 4.583748100001685, 4.775738399999682, 5.127485299999535, 5.255287600000884, 5.671981700001197, 5.79948300000251, 6.047341600002255, 6.167354200002592, 6.703484199999366, 6.823828799999319, 7.239354600002116, 7.959355700000742, 8.168348100000003]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,ordain,patent,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/defame_touch_edited.mp4,covert,defame,None,,,,,,,,,,,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ordain,"['o', 'd', 'r', 'backspace', 'backspace', 'r', 'd', 'i', 'backspace', 'a', 'i', 'n', 'return']","[0.39780030000110855, 0.7013899000012316, 0.8860004000016488, 1.0785547000014049, 1.2144933999989007, 1.3335398000017449, 1.725646400002006, 1.9742700999995577, 2.301514099999622, 2.3978322000002663, 2.5262599000016053, 2.9654891999998654, 3.4773714000002656]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,upkeep,parish,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/gullet_TT_3X.mp4,picket,gullet,None,,,,,,,,,,,0,10,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, upkeep,"['u', 'p', 'k', 'e', 'e', 'p', 'return']","[0.3537904000004346, 0.5540746999977273, 0.8099404999993567, 1.2342198000005737, 1.442042599999695, 1.5545277999990503, 1.9147880999989866]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,parole,hamlet,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/shroud_touch_edited.mp4,jackal,shroud,None,,,,,,,,,,,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, parole,"['bracketleft', 'a', 'backspace', 'backspace', 'p', 'a', 'r', 'o', 'l', 'e', 'return']","[0.341900399998849, 0.477515399998083, 0.925323200001003, 1.062329199998203, 1.6771862999994482, 3.037410799999634, 3.3015716999980214, 3.398374299998977, 3.5501020000010612, 3.6451411999987613, 4.397808599998825]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,convoy,output,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/uphold_TT_3X.mp4,debtor,uphold,None,,,,,,,,,,,0,12,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, convoy,"['c', 'o', 'n', 'j', 'backspace', 'b', 'o', 'y', 'backspace', 'backspace', 'backspace', 'n', 'backspace', 'v', 'o', 'y', 'return']","[0.3128274999980931, 0.3537670000005164, 0.7846752000004926, 0.9606190000013157, 1.6653722999981255, 1.8647354999993695, 1.9526450000012119, 2.1685213999990083, 2.424667799998133, 2.560701999998855, 2.680627800000366, 3.0405427000005147, 3.5447113000009267, 3.8566448999990826, 4.008555199998227, 4.232400100001541, 4.424544099998457]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,metric,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/eatery_touch_edited.mp4,ascend,eatery,2 = AOMIspec,,,,,,,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, plight,"['p', 'l', 'semicolon', 'backspace', 'l', 'i', 'g', 'h', 't', 'return']","[0.598163000002387, 0.7577503000029537, 0.7662858000003325, 1.2379338000027929, 1.4694718999999168, 2.197707100000116, 2.366393700001936, 2.509970000002795, 3.0217403000024206, 3.469623600001796]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,jargon,oppose,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/ghetto_touch_edited.mp4,frugal,ghetto,None,,,,,,,,,,,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, jargon,"['j', 'a', 'r', 'g', 'o', 'n', 'pound', 'backspace', 'return']","[0.4129566000010527, 0.5490444000024581, 0.7891367000011087, 1.1251933000021381, 1.2216678000004322, 1.3728735000004235, 1.7733731000007538, 2.2931748000009975, 2.5248438000016904]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,potent,tandem,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/origin_TT_3X.mp4,falter,origin,None,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, potent,"['o', 't', 'backspace', 'backspace', 'bracketleft', 'backspace', 'p', 'o', 't', 'e', 'n', 't', 'pound', 'backspace', 'return']","[0.35659340000347584, 0.5725328000007721, 1.124898400001257, 1.380468800001836, 1.668355600002542, 2.204949700000725, 2.556367600001977, 2.708552800002508, 3.0454070000014326, 3.228568800001085, 3.580534800003079, 3.668324300000677, 4.221414700001333, 4.884241600000678, 5.060715400002664]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,mirage,shrewd,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/revoke_touch_edited.mp4,malady,revoke,None,,,,,,,,,,,0,16,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mirage,"['m', 'i', 'r', 'a', 'g', 'e', 'return']","[0.25131989999863436, 0.5152937999991991, 0.6427651000012702, 0.8748182999988785, 0.9947510000019975, 1.1469949000020279, 1.7712133999993966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
