pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contBkgdKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI_promptBkgdKeys.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,impose,feudal,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/matron_TT_3X.mp4,subdue,matron,None,,,,,,,,,,,0,17,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, impose,"['i', 'm', 'p', 'o', 's', 'e', 'return']","[0.27138900000136346, 0.4866674000004423, 0.7031277999994927, 0.9910627999997814, 1.2306883999990532, 1.390701699998317, 1.5588889999999083]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,brazen,fungal,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/mucous_TT_3X.mp4,subtle,mucous,None,,,,,,,,,,,0,18,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, brazen,"['b', 'r', 'a', 'backslash', 'backspace', 'backslash', 'backspace', 'z', 'e', 'n', 'pound', 'backspace', 'return']","[0.2806997000006959, 0.4728603000003204, 0.6901551000009931, 1.6092731000026106, 2.456907300002058, 2.568625300002168, 3.144774899999902, 3.505102300001454, 3.8489434000002802, 3.9687494999998307, 4.2888278999998874, 4.848765200000344, 5.0647065000011935]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,coerce,clergy,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/portal_TT_3X.mp4,ritual,portal,None,,,,,,,,,,,0,19,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, coerce,"['c', 'o', 'e', 'r', 'c', 'e', 'return']","[0.38716419999764184, 0.5070496999978786, 0.9153608999986318, 1.067433299998811, 1.3309450999986439, 1.4910795999967377, 2.1629749999992782]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,savant,induce,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/mussel_TT_3X.mp4,cortex,mussel,None,,,,,,,,,,,0,20,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, savant,"['s', 'a', 'c', 'e', 'backspace', 'backspace', 'v', 'e', 'n', 't', 'backspace', 'backspace', 'backspace', 'backspace', 'v', 'a', 'n', 't', 'return']","[0.25657979999959935, 0.45673030000034487, 0.9687994000014442, 1.192845400000806, 1.649146900002961, 1.7847729999994044, 1.976559000002453, 2.1925532999994175, 2.3048287000019627, 2.512716100001853, 2.7534833000026993, 2.888930799999798, 2.985322800002905, 3.11270069999955, 4.209197700001823, 4.385353699999541, 4.600701200000913, 4.728275600002235, 4.936907100000099]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,pursue,caviar,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/shrill_TT_3X.mp4,piston,shrill,None,,,,,,,,,,,0,21,21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, pursue,"['p', 'u', 'r', 's', 'u', 'e', 'pound', 'backspace', 'return']","[0.3074708999993163, 0.5236691999998584, 0.6594638999995368, 1.179230000001553, 1.547141900002316, 1.6515837000006286, 2.1081316999989212, 2.571787000000768, 2.8034225000010338]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,novice,primal,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/entail_touch_edited.mp4,parcel,entail,None,,,,,,,,,,,0,22,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, novice,"['n', 'o', 'v', 'i', 'c', 'e', 'return']","[0.2579881000019668, 0.4101912000005541, 0.47416250000242144, 0.961884899999859, 1.2506157000025269, 1.4580066000016814, 1.5779995000011695]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,sherry,zephyr,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/fusion_touch_edited.mp4,obsess,fusion,None,,,,,,,,,,,0,23,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, sherry,"['s', 'h', 'e', 'r', 'r', 't', 't', 'backspace', 'backspace', 'y', 'return']","[0.27479509999830043, 0.3393231000009109, 0.6350959000010334, 1.114697500001057, 1.2675686000002315, 1.5953459999982442, 1.7549522000008437, 2.083301800001209, 2.2279180000005, 2.411442900000111, 2.794983700001467]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,manure,girdle,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/linear_TT_3X.mp4,belfry,linear,None,,,,,,,,,,,0,24,24,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, manure,"['m', 'a', 'n', 'u', 'e', 'w', 'backspace', 'backspace', 'r', 'e', 'return']","[0.3452060000017809, 0.46524850000059814, 0.6092153999998118, 0.8409816999992472, 1.3451439999989816, 1.5288896000020031, 2.016917299999477, 2.1610815999993065, 2.265245999999024, 2.456955300000118, 2.688908200001606]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,strife,delude,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/galley_touch_edited.mp4,tariff,galley,None,,,,,,,,,,,0,25,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, strife,"['s', 'r', 'backspace', 't', 'r', 'i', 'f', 'e', 'return']","[0.3881117999990238, 0.6994623999999021, 1.099533500000689, 1.363852800001041, 1.515474499999982, 1.6441789000018616, 1.7635341999994125, 1.9397884999998496, 2.2755606999999145]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,vanity,hinder,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/breach_touch_edited.mp4,matrix,breach,1 = AOMIgen,,,,,,,,,,,0,26,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, vanity,"['v', 'a', 's', 'n', 't', 'backspace', 'i', 't', 'y', 'return']","[0.13137080000160495, 0.387885300002381, 0.3957707000008668, 0.8920432000013534, 1.1475718000001507, 1.5394784000018262, 1.779432999999699, 1.8842482000000018, 1.987830900001427, 2.4365409999991243]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,revolt,joiner,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/apathy_touch_edited.mp4,virile,apathy,None,,,,,,,,,,,0,27,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, revolt,"['r', 'e', 'v', 'o', 'l', 't', 'return']","[0.6158674999969662, 0.7913615999968897, 1.040160399999877, 1.135314399998606, 1.295794300000125, 1.3595753999979934, 1.6966308999981266]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,satire,mangle,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/warble_TT_3X.mp4,devise,warble,None,,,,,,,,,,,0,28,28,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, satire,"['s', 'a', 't', 'i', 'r', 'e', 'return']","[0.3776176999999734, 1.2976944999973057, 1.6344413999977405, 1.7453811999985192, 1.8498841000000539, 1.9937059999974736, 2.401540599999862]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,deduct,jailer,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/nettle_TT_3X.mp4,plasma,nettle,None,,,,,,,,,,,0,29,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, deduct,"['d', 'e', 'd', 'u', 'u', 'c', 'backspace', 'backspace', 'c', 't', 'return']","[0.36788349999915226, 0.56756310000128, 0.9355447999987518, 1.1366109999980836, 1.3198725000002014, 1.5757459999986168, 1.7998081000005186, 1.9436142000013206, 2.0313365000001795, 2.743317399999796, 2.935572399997909]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['2'],[22.279982899999595],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['2'],[7.3930585000016436],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,quarry,septic,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/innate_touch_edited.mp4,neural,innate,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"['b', 'u', 't', 'e', 'r', 'backspace', 'backspace', 't', 'e', 'r', 'return']","[0.42227420000199345, 0.6308524999985821, 1.1508782000018982, 1.3423967999988236, 1.502386200001638, 1.9582965000008699, 2.0867763999995077, 2.2148794999993697, 2.4143556999988505, 2.5344956000008096, 3.023016800001642]",None, neural,"['n', 'e', 'u', 'r', 'a', 'l', 'return']","[0.33525039999949513, 0.5521325000008801, 0.7834541999982321, 1.159769800000504, 1.399510299997928, 1.5035749999988184, 2.1841624999979103]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,coerce,clergy,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/portal_TT_3X.mp4,ritual,portal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,['return'], ritual,"['r', 'i', 't', 'u', 'a', 'l', 'return']","[0.35664989999713725, 0.445276799997373, 0.5808545999971102, 0.6684252999984892, 1.148637399997824, 1.3486210999981267, 1.7725162999995518]",[0.16499860000112676],,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,novice,primal,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/entail_touch_edited.mp4,parcel,entail,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, parcel,"['o', 'bracketleft', 'a', 'backspace', 'backspace', 'p', 'a', 'r', 'c', 'e', 'l', 'return']","[0.75711389999924, 0.7653409000013198, 0.7809598000021651, 1.3256615000027523, 1.4774117000015394, 1.9735177000002295, 2.429025500001444, 2.6528876000011223, 2.988951700001053, 3.2049465000018245, 3.429302700002154, 3.7975251999996544]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,impose,feudal,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/matron_TT_3X.mp4,subdue,matron,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, subdue,"['s', 'u', 'b', 'd', 'e', 'backspace', 'e', 'u', 'backspace', 'backspace', 'u', 'e', 'return']","[0.2603034999992815, 0.32419630000003963, 0.5404428000001644, 0.5721425999981875, 0.8523625999987416, 1.4599748000000545, 1.7559237999994366, 1.916870299999573, 2.3078358999991906, 2.6769280999978946, 2.891920399997616, 3.0038343999985955, 3.3973623999991105]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,strife,delude,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/galley_touch_edited.mp4,tariff,galley,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, tariff,"['t', 'd', 'a', 'backspace', 'backspace', 'a', 'r', 'o', 'f', 'backspace', 'backspace', 'i', 'f', 'f', 'return']","[0.8918747999996413, 1.2045163000002503, 1.5318809999989753, 1.8756193999979587, 2.051880999999412, 2.236179899999115, 2.6045195999977295, 2.924208500000532, 3.172582199997123, 3.395642499999667, 3.5156828999970458, 4.171857599998475, 4.2839593999997305, 4.476365200000146, 4.756309299998975]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,parole,hamlet,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/shroud_touch_edited.mp4,jackal,shroud,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, jackal,"['j', 'a', 'c', 'k', 'e', 'a', 'backspace', 'backspace', 'a', 'l', 'return']","[0.36077669999940554, 0.4727426000026753, 2.0645227000022714, 2.2647225000000617, 2.4569521000012173, 2.92891050000253, 3.4645216000026267, 3.8970554000006814, 4.160816999999952, 4.360715700000583, 4.904655900001671]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,sherry,zephyr,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/fusion_touch_edited.mp4,obsess,fusion,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, obsess,"['o', 'b', 's', 'e', 'e', 'backspace', 's', 's', 'return']","[0.09855679999964195, 0.4021093000010296, 0.7787605000012263, 1.235460800002329, 1.4188159000004816, 1.754176300000836, 1.9624815000024682, 2.1150605000002543, 2.4908869999999297]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,vanity,hinder,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/breach_touch_edited.mp4,matrix,breach,1 = AOMIgen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, matrix,"['m', 'a', 't', 'i', 'r', 'backspace', 'backspace', 'r', 'i', 'x', 'return']","[0.8175019000009343, 0.9626477999991039, 1.4738145000010263, 1.921827599999233, 2.018186400000559, 2.2105138000006264, 2.3381402000013622, 2.457648600000539, 2.61773340000218, 3.0268801000020176, 3.3456076000002213]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,pursue,caviar,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/shrill_TT_3X.mp4,piston,shrill,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, piston,"['d', 'backspace', 'backspace', 'bracketleft', 'i', 's', 'd', 'backspace', 's', 't', 'o', 'n', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'p', 'i', 's', 't', 'o', 'n', 'return']","[0.3431553999980679, 0.662375100000645, 0.7829934000001231, 1.286529299999529, 1.5264815999980783, 1.735268399999768, 1.742576000000554, 2.22282119999727, 2.318862699998135, 2.5745131999974546, 2.678939299999911, 2.8384421999980987, 3.198606199999631, 3.4064419999995152, 3.550314199997956, 3.710416099998838, 3.839227699998446, 3.983085100000608, 4.487220099999831, 4.695003599998017, 4.814414000000397, 5.102859999999055, 5.183709999997518, 5.3264894999992975, 5.622839100000419]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,manure,girdle,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/linear_TT_3X.mp4,belfry,linear,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, belfry,"['b', 'e', 'l', 'f', 't', 'backspace', 'r', 'y', 'return']","[0.3885532999993302, 0.532778299999336, 0.7005949000013061, 0.8846063999990292, 1.116528599999583, 1.4617483000001812, 1.5087999000024865, 1.732769800000824, 1.9165756000002148]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,fodder,trench,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/ethnic_TT_3X.mp4,botany,ethnic,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, botant,"['b', 'o', 't', 's', 'n', 'y', 'backspace', 'backspace', 'backspace', 'a', 'n', 't', 'return']","[0.32985719999851426, 0.5139629000004788, 1.1697984999991604, 1.3934472000000824, 1.4259987000004912, 1.609672300000966, 1.9939068999992742, 2.121531100001448, 2.2421452999988105, 2.3696348999983456, 2.521221899998636, 2.6656049999983225, 2.9613155000006373]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,revolt,joiner,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/apathy_touch_edited.mp4,virile,apathy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,['backspace'], virile,"['v', 'i', 'r', 'i', 'l', 'e', 'return']","[0.9311404000000039, 1.0349083000000974, 1.1709178000019165, 1.586899900001299, 1.7953697000011744, 1.9233787000011944, 2.307512000003044]",[0.14780869999958668],,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,ordain,patent,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/defame_touch_edited.mp4,covert,defame,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, coovert,"['c', 'i', 'v', 'e', 'r', 't', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'o', 'b', 'backspace', 'backspace', 'backspace', 'backspace', 'o', 'v', 'e', 'r', 't', 'return']","[0.5707532000014908, 0.9388717000001634, 1.1066382000026351, 1.3386987000012596, 1.7465978000000177, 1.979116400001658, 2.690711700000975, 2.8112457000024733, 2.9387410000017553, 3.074786799999856, 3.2513060000019323, 3.8507004999992205, 4.019167800001014, 4.954774600002565, 5.131367699999828, 5.251265900002181, 5.627521700000216, 6.098755800001527, 6.3628513000003295, 6.579261900002166, 6.770771999999852, 6.962955400002102, 7.2988628999992216]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,metric,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/eatery_touch_edited.mp4,ascend,eatery,2 = AOMIspec,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ascend,"['a', 's', 'c', 'e', 'b', 'd', 'backspace', 'backspace', 'n', 'd', 'pound', 'backspace', 'return']","[0.5970391999981075, 0.9649133999992046, 1.4774844999992638, 1.7328635999983817, 1.9171313999977428, 2.260979499998939, 2.9170252999974764, 3.0539231000002474, 3.6215412999990804, 3.7810867999978655, 4.268979899999977, 4.781550299998344, 5.077296899999055]",,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
