pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,satire,cortex,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/induce_touch_edited.mp4,mussel,induce,None,,,,,,,,,,,0,4,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, satire,"['s', 'a', 't', 'i', 'r', 'e', 'return']","[0.44324850011616945, 0.5803420001175255, 0.7480624001473188, 0.9001479002181441, 1.1394860001746565, 1.1878965001087636, 1.355503300204873]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,mirage,malady,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/shrewd_TT_3X.mp4,revoke,shrewd,None,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mirage,"['m', 'i', 'r', 'a', 'g', 'e', 'return']","[0.3808381000999361, 0.5899443998932838, 0.6925035000313073, 0.7739128998946398, 0.9484618999995291, 1.0363567001186311, 1.1003334999550134]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,legion,subdue,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/feudal_touch_edited.mp4,matron,feudal,None,,,,,,,,,,,0,6,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, legion,"['l', 'e', 'g', 'i', 'o', 'n', 'return']","[0.4555852999910712, 0.5345481000840664, 0.7027575999964029, 0.8066725002136081, 0.8784935001749545, 1.1271503001917154, 1.3430371000431478]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,savant,cervix,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/cobble_touch_edited.mp4,export,cobble,None,,,,,,,,,,,0,7,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, savant,"['s', 'a', 'v', 'a', 'n', 't', 'return']","[0.42479029996320605, 0.49625459988601506, 0.7764708998147398, 0.8809072999283671, 1.032626299886033, 1.1766283998731524, 1.3198710000142455]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,brazen,piston,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/caviar_touch_edited.mp4,shrill,caviar,None,,,,,,,,,,,0,8,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, brazen,"['b', 'r', 'a', 'z', 'e', 'n', 'return']","[0.5288100999314338, 0.5927448000293225, 0.7130392999388278, 0.9854657999239862, 1.185893699992448, 1.2736661999952048, 1.5052702999673784]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,novice,parcel,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/primal_TT_3X.mp4,entail,primal,None,,,,,,,,,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, novice,"['n', 'o', 'v', 'i', 'c', 'e', 'return']","[0.6501567999366671, 0.8593051999341697, 0.9785591999534518, 1.1301286998204887, 1.4182324998546392, 1.5465598998125643, 1.6424808998126537]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,quarry,covert,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/patent_TT_3X.mp4,defame,patent,None,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, quarry,"['q', 'u', 'i', 'backspace', 'r', 'a', 'backspace', 'backspace', 'a', 'r', 'r', 'y', 'return']","[0.45616389997303486, 0.608106000116095, 0.6954509001225233, 1.079642300028354, 1.3121569999493659, 1.3915492999367416, 1.8636511999648064, 1.9920998001471162, 2.1190893999300897, 2.1914325000252575, 2.383269099984318, 3.023613299941644, 3.2636923999525607]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,jargon,frugal,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/oppose_TT_3X.mp4,ghetto,oppose,None,,,,,,,,,,,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, jargon,"['j', 'a', 'r', 'g', 'o', 'n', 'return']","[0.4356353001203388, 0.5799650999251753, 0.6834056999068707, 0.9397901999764144, 1.0203353001270443, 1.212028499925509, 1.4436834999360144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,fodder,devise,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/mangle_touch_edited.mp4,warble,mangle,None,,,,,,,,,,,0,12,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, fodder,"['d', 'o', 'f', 'backspace', 'backspace', 'backspace', 'f', 'o', 'd', 'd', 'e', 'r', 'return']","[0.5268409999553114, 0.6542740000877529, 1.014390500029549, 1.5904395000543445, 1.7263879999518394, 1.9746475000865757, 2.511095799971372, 2.6783447999041528, 2.7988436000887305, 2.9345758999697864, 3.14220319991, 3.1985317999497056, 3.3422674001194537]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,upkeep,kipper,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/meddle_touch_edited.mp4,divert,meddle,None,,,,,,,,,,,0,13,13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, upkeep,"['u', 'p', 'k', 'e', 'e', 'p', 'return']","[0.880577300209552, 1.0721816001459956, 1.3844110001809895, 1.4640014001633972, 1.6163712001871318, 1.8079988001845777, 2.064017000142485]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
