pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,entail,novice,6.5,7.5,video&audio/confer_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,confer,primal,None,,,,,,,,,,,0,17,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, entail,"['e', 'n', 't', 'a', 'i', 'l', 'return']","[0.3698003999888897, 0.49008590006269515, 0.6022848000284284, 0.6977109999861568, 0.834044500021264, 1.049988199956715, 1.5701777000213042]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,mystic,infirm,6.5,7.5,video&audio/cervix_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,cervix,oblige,None,,,,,,,,,,,0,18,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mystic,"['m', 'y', 's', 't', 'i', 'c', 'return']","[0.40030939993448555, 0.49625640001613647, 0.6083266999339685, 1.1603324000025168, 1.3282506000250578, 1.4882678999565542, 1.76836230000481]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,tamper,sonnet,6.5,7.5,video&audio/hippie_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,hippie,innate,None,,,,,,,,,,,0,19,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, tamper,"['t', 'a', 'm', 'p', 'e', 'r', 'return']","[0.34844580001663417, 0.4442572999978438, 0.6200837000505999, 0.7397667999612167, 0.8358239000663161, 0.8997716000303626, 1.2118309000506997]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,gullet,manure,19.5,20.5,video&audio/tariff_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,tariff,parish,None,,,,,,,,,,,0,20,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, guller,"['g', 'u', 'l', 'l', 'w', 'backspace', 'e', 'r', 'return']","[0.3305113000096753, 0.4507000999292359, 0.6747026999946684, 0.8106941999867558, 0.8983464000048116, 1.5862897000042722, 1.7305151999462396, 1.786393899936229, 2.0584169999929145]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,fusion,critic,6.5,7.5,video&audio/forage_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,forage,zephyr,None,,,,,,,,,,,0,21,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['f', 'u', 's', 'i']", fusion,"['f', 'u', 's', 'i', 'o', 'n', 'return']","[0.4343477999791503, 0.5624256000155583, 0.6986489000264555, 0.906604400021024, 0.9783666000002995, 1.082314100000076, 1.770341399940662]","[1.3656722999876365, 1.4615200000116602, 1.5416973000392318, 1.7577829000074416]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,ghetto,jargon,6.5,7.5,video&audio/botany_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,botany,oppose,None,,,,,,,,,,,0,22,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ghetto,"['g', 'h', 'e', 't', 't', 'o', 'return']","[0.5160075000021607, 0.6677771999966353, 0.78766120004002, 0.955658599967137, 1.1719076000154018, 1.3718872999306768, 1.931901799980551]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,galley,strife,6.5,7.5,video&audio/debtor_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,debtor,delude,None,,,,,,,,,,,0,23,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, galley,"['g', 'a', 'l', 'l', 'e', 'y', 'return']","[0.5485017999308184, 0.6919230999192223, 1.3480181000195444, 1.4599179999204352, 1.5721006999956444, 1.9642825999762863, 2.524028699961491]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,defame,quarry,6.5,7.5,video&audio/frugal_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,frugal,patent,None,,,,,,,,,,,0,24,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, defame,"['d', 'e', 'f', 'a', 'm', 'e', 'return']","[0.4158958999905735, 0.5837004000786692, 0.7596638000104576, 0.863695300067775, 1.1360125000355765, 1.2396212000166997, 1.8957064000423998]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,herbal,deduct,6.5,7.5,video&audio/kipper_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,kipper,hearth,None,,,,,,,,,,,0,25,25,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, herbal,"['h', 'e', 'r', 'b', 'a', 'l', 'return']","[0.4869833999546245, 0.5987739999545738, 0.91077449999284, 1.1508363999892026, 1.2548550999490544, 1.438953600008972, 1.95087760000024]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,ration,parole,6.5,7.5,video&audio/devise_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,devise,befall,None,,,,,,,,,,,0,26,26,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ration,"['r', 'a', 't', 'i', 'o', 'n', 'return']","[0.3840366000076756, 0.4642415000125766, 0.592416699975729, 0.736752999946475, 0.8001696999417618, 0.9522465999471024, 1.2883515999419615]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,shrill,brazen,19.5,20.5,video&audio/picket_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,picket,caviar,None,,,,,,,,,,,0,27,27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, shrill,"['s', 'h', 'r', 'i', 'l', 'l', 'return']","[0.3260473000118509, 0.4615948999999091, 0.5896560000255704, 0.7176258000545204, 0.9415619000792503, 1.1095698999706656, 1.7656666999682784]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,matron,legion,19.5,20.5,video&audio/subdue_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,subdue,feudal,None,,,,,,,,,,,0,28,28,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, matron,"['m', 'a', 't', 'r', 'o', 'n', 'return']","[0.31403909996151924, 0.39404579997062683, 0.5219567000167444, 1.0180760000366718, 1.1945320999948308, 1.3378385999239981, 2.0578235000139102]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,export,savant,19.5,20.5,video&audio/parcel_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,parcel,cobble,None,,,,,,,,,,,0,29,29,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, export,"['e', 'x', 'p', 'o', 'r', 't', 'return']","[0.37102500000037253, 0.5228516000788659, 1.0514211000408977, 1.4354816001141444, 1.5070930001093075, 1.5633969000773504, 1.7550047000404447]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['3'],[15.118482799967751],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4'],[8.053258499945514],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,nettle,convoy,19.5,20.5,video&audio/matrix_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,matrix,jailer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"['b', 'u', 't', 't', 'e', 'r', 'return']","[0.5821449999930337, 0.7179871000116691, 0.9419573000632226, 1.117915700073354, 1.2619979999726638, 1.3658535000868142, 1.5182476000627503]",None, matrix,"['m', 'a', 'a', 'backspace', 't', 'r', 'i', 'x', 'return']","[0.4558021000120789, 0.4637846000259742, 1.4081238000653684, 2.208152800099924, 2.455986600019969, 2.5358446000609547, 3.0797866000793874, 3.440051200101152, 4.064029900007881]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,eatery,plight,6.5,7.5,video&audio/belfry_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,belfry,metric,2 = AOMIgen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, be;fry,"['b', 'e', 'semicolon', 'f', 'r', 'y', 'return']","[0.5639722999185324, 0.6918437000131235, 0.9158985000103712, 1.1558317999588326, 1.3318122999044135, 1.691841799998656, 2.3719171999255195]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,tamper,sonnet,6.5,7.5,video&audio/hippie_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,hippie,innate,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,['backspace'], hippie,"['h', 'i', 'p', 'p', 'i', 'e', 'return']","[0.559903800021857, 0.8319947000127286, 1.0637545000063255, 1.2079237001016736, 1.9438198000425473, 2.439749400014989, 2.6398486000252888]",[0.1734944999916479],,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,portal,murmur,19.5,20.5,video&audio/neural_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,neural,clergy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, neural,"['n', 'e', 'u', 'r', 'a', 'l', 'return']","[0.45644499990157783, 0.6481464999960735, 0.912393799982965, 1.064456699998118, 1.1764949999051169, 1.5285814999369904, 2.120371799916029]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,origin,coerce,19.5,20.5,video&audio/malady_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,malady,tandem,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, malady,"['m', 'a', 'l', 'a', 'd', 'y', 'return']","[0.5001084000105038, 0.8203539999667555, 1.3725725000258535, 1.4681331999599934, 1.716264700051397, 2.0441423000302166, 2.252175100031309]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,ordain,potent,6.5,7.5,video&audio/jackal_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,jackal,septic,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, jackal,"['j', 'a', 'c', 'k', 'a', 'l', 'return']","[0.4974291999824345, 0.5694210999645293, 0.9213338000699878, 1.1454823999665678, 1.3216808000579476, 1.721449900069274, 1.9935485000023618]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,shrill,brazen,19.5,20.5,video&audio/picket_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,picket,caviar,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, picket,"['p', 'i', 'c', 'l', 'e', 't', 'backspace', 'backspace', 'backspace', 'k', 'e', 't', 'return']","[0.6806746000656858, 0.9928654000395909, 1.160427000024356, 1.5126503000501543, 1.6407997000496835, 1.736667999997735, 2.464833899983205, 2.624557500006631, 2.752747500082478, 3.5205301999812946, 3.6325687000062317, 3.7365417000837624, 4.000480800052173]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,fusion,critic,6.5,7.5,video&audio/forage_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,forage,zephyr,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, forage,"['f', 'o', 'r', 'a', 'g', 'e', 'return']","[0.4033677999395877, 0.5946850000182167, 0.7466584999347106, 0.8186897999839857, 0.9871578000020236, 1.1627514999127015, 1.3311823999974877]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,herbal,deduct,6.5,7.5,video&audio/kipper_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,kipper,hearth,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, kipper,"['k', 'i', 'bracketleft', 'bracketleft', 'e', 'r', 'backspace', 'backspace', 'backspace', 'backspace', 'p', 'p', 'e', 'r', 'return']","[0.6590732999611646, 0.9630954000167549, 1.1553199000190943, 1.3149799000239, 1.4511704000178725, 1.5715104999253526, 2.1874070999911055, 2.3471720999805257, 2.4750839999178424, 2.7070318999467418, 3.5551548999501392, 3.707022299990058, 3.787135499995202, 3.867144800024107, 3.963118899962865]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,allure,binder,19.5,20.5,video&audio/virile_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,virile,campus,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, virile,"['v', 'i', 'l', 'backspace', 'r', 'i', 'l', 'e', 'return']","[0.594520999933593, 0.7382745000068098, 1.0104993999702856, 1.9147331999847665, 2.2266944999573752, 2.3943753999192268, 2.5544188999338076, 2.6745175999822095, 2.874701799941249]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,divert,upkeep,19.5,20.5,video&audio/solemn_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,solemn,meddle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, solemn,"['s', 'o', 'l', 'e', 'm', 'n', 'return']","[0.6068993000080809, 0.7588819999946281, 0.9992243000306189, 1.2151342000579461, 1.9910281000193208, 2.166925600031391, 2.9189061999786645]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,uphold,pursue,19.5,20.5,video&audio/obsess_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,obsess,output,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, obsess,"['o', 'b', 's', 'e', 's', 's', 'return']","[0.3706485000438988, 0.6587368999607861, 0.7944202000508085, 0.9305303000146523, 1.114507699967362, 1.3224826999939978, 1.56241500005126]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,shroud,sherry,6.5,7.5,video&audio/falter_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,falter,hamlet,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, falter,"['f', 'a', 'l', 't', 'e', 'r', 'return']","[0.46846819994971156, 0.5243634999496862, 0.7644604999804869, 0.9403782000299543, 1.068513499922119, 1.2604928999207914, 1.5493077000137419]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,matron,legion,19.5,20.5,video&audio/subdue_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,subdue,feudal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, subdue,"['s', 'u', 'b', 'd', 'u', 'e', 'return']","[0.444525400060229, 0.6441156000364572, 1.3159375000977889, 1.4519914000993595, 1.7000546000199392, 1.8203764000209048, 2.419848100049421]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,ration,parole,6.5,7.5,video&audio/devise_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,devise,befall,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, devise,"['d', 'e', 'v', 'i', 's', 'e', 'return']","[0.3834828999824822, 0.40770940005313605, 0.7357678000116721, 0.9760637000435963, 1.4876534000504762, 1.599918600055389, 1.9439716000342742]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,ghetto,jargon,6.5,7.5,video&audio/botany_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,botany,oppose,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, botany,"['b', 'o', 't', 'a', 'n', 'y', 'return']","[0.32765329990070313, 0.5036141999298707, 0.6637777999276295, 0.7997481999918818, 1.0082025999436155, 1.2556573998881504, 1.6323993999976665]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,mucous,musket,19.5,20.5,video&audio/plasma_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,plasma,fungal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, plasma,"['p', 'l', 'a', 'm', 's', 'backspace', 'backspace', 's', 'a', 'return']","[0.3906335999490693, 0.710527699906379, 0.8869922999292612, 1.215191699913703, 1.4144639999140054, 2.1988322999095544, 2.3426860999315977, 2.558758999919519, 2.89475669991225, 3.134927599923685]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,ethnic,goblet,19.5,20.5,video&audio/subtle_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,subtle,trench,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, subtle,"['s', 'u', 'b', 't', 'l', 'e', 'return']","[0.44816490006633103, 0.6402535000815988, 0.8726734999800101, 1.1202478000195697, 1.4162184000015259, 1.576298400061205, 1.8405008000554517]",,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
