pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,covert,defame,19.5,20.5,video&audio/patent_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,patent,binder,None,,,,,,,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, covert,"['c', 'o', 'v', 'e', 'r', 't', 'return']","[0.4927449999959208, 0.5329449999990175, 0.7969174999889219, 0.8766165999986697, 1.0526779999927385, 1.1567776999872876, 1.5008422999962931]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,kipper,divert,6.5,7.5,video&audio/meddle_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,meddle,musket,None,,,,,,,,,,,0,8,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, kipper,"['k', 'i', 'p', 'p', 'e', 'r', 'return']","[0.4873215999978129, 0.6634940000076313, 0.8555534000042826, 0.9594044999976177, 1.0873769000027096, 1.2390988000115613, 1.3757113000028767]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,belfry,linear,6.5,7.5,video&audio/girdle_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,girdle,manure,None,,,,,,,,,,,0,9,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, be;fry,"['b', 'e', 'semicolon', 'f', 'r', 'y', 'return']","[0.4708877999946708, 0.5663706000050297, 0.7253669000056107, 0.8540772999986075, 1.061674500000663, 1.1977674000081606, 1.5255528999987291]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,obsess,fusion,19.5,20.5,video&audio/zephyr_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,zephyr,sherry,None,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, obsess,"['o', 'b', 's', 's', 'backspace', 'e', 's', 's', 'return']","[0.6223743000009563, 0.8467423999973107, 1.0146392999886302, 1.1915756999951554, 1.7595158999902196, 1.9345593999896664, 2.1824893999873893, 2.3268453999917256, 2.5911870999989333]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,subdue,matron,6.5,7.5,video&audio/feudal_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,feudal,impose,None,,,,,,,,,,,0,11,11,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, subdue,"['s', 'u', 'b', 'd', 'u', 'e', 'return']","[0.717348200007109, 0.8612317000079202, 1.1095006999967154, 1.2936239999980899, 1.445508200005861, 1.5331581000064034, 1.805708300002152]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,plasma,nettle,6.5,7.5,video&audio/jailer_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,jailer,deduct,None,,,,,,,,,,,0,12,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, plasma,"['p', 'l', 'a', 's', 'm', 'a', 'return']","[0.4124257000075886, 0.5887198999989778, 0.6998235000064597, 0.876239400007762, 1.371721700008493, 1.4361343000055058, 1.6603735000098823]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,tariff,galley,19.5,20.5,video&audio/delude_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,delude,strife,None,,,,,,,,,,,0,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, tariff,"['t', 'y', 'a', 'r', 'backspace', 'backspace', 'backspace', 'backspace', 't', 'a', 'r', 'i', 'f', 'f', 'return']","[0.6935729999968316, 0.7091015999903902, 0.7730847999919206, 0.9177535999915563, 2.037513899995247, 2.157441599993035, 2.2770827999920584, 2.3731588999944506, 3.093754799992894, 3.165495099994587, 3.245117200000095, 3.781246700003976, 3.9890845000045374, 4.109458999999333, 4.245979999992414]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,frugal,ghetto,19.5,20.5,video&audio/oppose_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,oppose,jargon,None,,,,,,,,,,,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, frugal,"['f', 'r', 'u', 'g', 'a', 'l', 'return']","[0.6652772999950685, 0.8259496999962721, 0.9694576999900164, 1.2334788000007393, 1.3058497999882093, 1.529158399993321, 1.801398399999016]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,jackal,shroud,19.5,20.5,video&audio/hamlet_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,hamlet,parole,None,,,,,,,,,,,0,15,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, jackal,"['j', 'a', 'c', 'k', 'a', 'l', 'return']","[0.4368274000007659, 0.4933498999889707, 0.7565810999949463, 0.9322395999915898, 1.0681299999996554, 1.1732319000002462, 1.4447437999915564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing the same word you will need to type at various speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone typing different words to what you must type at various speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/afford_touch_edited.mp4,video&audio/amount_touch_edited.mp4,matrix,breach,19.5,20.5,video&audio/hinder_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,hinder,vanity,1 = AOMIspec,,,,,,,,,,,0,16,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, matrix,"['m', 'a', 't', 'r', 'i', 'x', 'return']","[0.39212920000136364, 0.4473265000124229, 0.6961650000012014, 0.8714766000048257, 1.2633996000076877, 1.44738560001133, 1.7275655000121333]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
