participantID,Trial,Number,Speed,Adjacency_combined,R,RNG,NSQ,RNG2,Coupon,TPI,Repetition gap (mean)
aklima,14,5,Slow,,,,,,,,
aklima,14,2,Slow,,,,,,,,
aklima,14,7,Slow,,,,,,,,
aklima,14,3,Slow,,,,,,,,
aklima,14,1,Slow,,,,,,,,
aklima,14,10,Slow,,,,,,,,
aklima,14,6,Slow,,,,,,,,
aklima,14,4,Slow,,,,,,,,
aklima,14,7,Slow,,,,,,,,
aklima,14,5,Slow,,,,,,,,
aklima,14,8,Slow,,,,,,,,
aklima,14,10,Slow,,,,,,,,
aklima,14,9,Slow,,,,,,,,
aklima,14,1,Slow,,,,,,,,
aklima,14,4,Slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,15,5,Slow,,,,,,,,
aklima,15,6,Slow,,,,,,,,
aklima,15,1,Slow,,,,,,,,
aklima,15,8,Slow,,,,,,,,
aklima,15,10,Slow,,,,,,,,
aklima,15,3,Slow,,,,,,,,
aklima,15,4,Slow,,,,,,,,
aklima,15,1,Slow,,,,,,,,
aklima,15,7,Slow,,,,,,,,
aklima,15,3,Slow,,,,,,,,
aklima,15,8,Slow,,,,,,,,
aklima,15,4,Slow,,,,,,,,
aklima,15,1,Slow,,,,,,,,
aklima,15,10,Slow,,,,,,,,
aklima,15,9,Slow,,,,,,,,
aklima,15,5,Slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,16,1,Fast,,,,,,,,
aklima,16,3,Fast,,,,,,,,
aklima,16,6,Fast,,,,,,,,
aklima,16,7,Fast,,,,,,,,
aklima,16,10,Fast,,,,,,,,
aklima,,,,,,,,,,,
aklima,17,2,Fast,,,,,,,,
aklima,17,5,Fast,,,,,,,,
aklima,17,7,Fast,,,,,,,,
aklima,17,6,Fast,,,,,,,,
aklima,17,4,Fast,,,,,,,,
aklima,,,,,,,,,,,
aklima,18,1,Slow,,,,,,,,
aklima,18,5,Slow,,,,,,,,
aklima,18,8,Slow,,,,,,,,
aklima,18,10,Slow,,,,,,,,
aklima,18,4,Slow,,,,,,,,
aklima,18,6,Slow,,,,,,,,
aklima,18,7,Slow,,,,,,,,
aklima,18,2,Slow,,,,,,,,
aklima,18,10,Slow,,,,,,,,
aklima,18,7,Slow,,,,,,,,
aklima,18,3,Slow,,,,,,,,
aklima,18,1,Slow,,,,,,,,
aklima,18,5,Slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,19,1,Slow,,,,,,,,
aklima,19,4,Slow,,,,,,,,
aklima,19,8,Slow,,,,,,,,
aklima,19,9,Slow,,,,,,,,
aklima,19,2,Slow,,,,,,,,
aklima,19,3,Slow,,,,,,,,
aklima,19,10,Slow,,,,,,,,
aklima,19,7,Slow,,,,,,,,
aklima,19,3,Slow,,,,,,,,
aklima,19,1,Slow,,,,,,,,
aklima,19,5,Slow,,,,,,,,
aklima,19,7,Slow,,,,,,,,
aklima,19,2,Slow,,,,,,,,
aklima,19,6,Slow,,,,,,,,
aklima,19,10,Slow,,,,,,,,
aklima,19,9,Slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,20,1,fast,,,,,,,,
aklima,20,3,fast,,,,,,,,
aklima,20,2,fast,,,,,,,,
aklima,20,4,fast,,,,,,,,
aklima,,,,,,,,,,,
aklima,21,1,Slow,,,,,,,,
aklima,21,5,Slow,,,,,,,,
aklima,21,7,Slow,,,,,,,,
aklima,21,3,Slow,,,,,,,,
aklima,21,6,Slow,,,,,,,,
aklima,21,8,Slow,,,,,,,,
aklima,21,10,Slow,,,,,,,,
aklima,21,1,Slow,,,,,,,,
aklima,21,2,Slow,,,,,,,,
aklima,21,6,Slow,,,,,,,,
aklima,21,4,Slow,,,,,,,,
aklima,21,8,Slow,,,,,,,,
aklima,21,1,Slow,,,,,,,,
aklima,21,9,Slow,,,,,,,,
aklima,21,7,Slow,,,,,,,,
aklima,21,5,Slow,,,,,,,,
aklima,21,4,Slow,,,,,,,,
aklima,21,8,Slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,22,1,fast,,,,,,,,
aklima,22,6,fast,,,,,,,,
